Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,430.2431311677242,405.1947092547466,389.7568688322758,385.78514897840915,389.7568688322758,397.4757890435111,397.4757890435112,430.2431311677244,405.64998158403415,405.1947092547469
1000.0,703.4435400419724,703.4435400419724,703.4435400419724,703.4435400419724,703.4435400419724,703.4435400419724,703.4435400419724,703.4435400419724,703.4435400419724,273.4435400419723,353.4435400419723,353.4435400419723,353.4435400419723,227.95727770652394,253.0056996195015,268.4435400419723,272.415259895839,268.4435400419723,265.724619830737,265.7246198307369,227.9572777065237,257.55042729021415,258.0056996195013
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,397.2810797887646,317.2810797887646,317.2810797887646,317.2810797887646,417.7189202112354,417.7189202112354,402.2810797887646,397.2810797887646,402.2810797887646,409.9999999999999,410.0,417.7189202112356,417.7189202112354,417.7189202112356
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,286.57361636500127,236.57361636500127,286.57361636500127,306.14530384623424,306.1453038462341,298.42638363499907,298.42638363499873,298.4263836349986
1000.0,1000.0,1000.0,1000.0,724.5030163339069,724.5030163339069,724.5030163339069,374.5030163339068,374.5030163339068,374.5030163339068,374.5030163339068,374.5030163339068,374.5030163339068,374.50301633390694,374.5030163339068,374.5030163339068,374.5030163339068,374.50301633390694,374.5030163339068,366.78409612267154,366.78409612267143,374.50301633390694,374.50301633390666,374.50301633390694
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,336.60575064094974,336.60575064094974,286.60575064094974,306.94444444444446,336.60575064094974,336.60575064094974,336.60575064094974,336.60575064094974,336.60575064094974,336.60575064094974,336.60575064094974,336.60575064094974,336.60575064095,336.88397651046716,336.60575064094974,336.60575064095,336.6057506409494
1000.0,1000.0,1000.0,721.8079018294792,721.8079018294792,721.8079018294792,721.8079018294792,371.80790182947914,371.80790182947914,371.80790182947914,274.6419030851267,371.80790182947914,371.80790182947936,371.80790182947914,371.80790182947925,371.80790182947925,371.80790182947914,371.80790182947925,371.80790182947914,371.80790182947925,371.5296759599617,371.80790182947914,371.80790182947896,371.80790182947925
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,296.66878889472036,296.66878889472036,296.66878889472036,296.66878889472036,296.66878889472054
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,703.0213465131978,703.0213465131978,396.97865348680216,108.02134651319784,451.97865348680216,396.97865348680216,396.9786534868024,396.97865348680216,396.97865348680216,396.97865348680216,385.0,396.97865348680216,375.0,393.6427635469221,366.97865348680216,396.97865348680216,391.9786534857463,395.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,108.16365103324824,253.16365103324824,108.92309793124662,253.16365103324824,331.83634896675153,331.83634896675176,328.16365103324824,331.83634896675176,343.8150024535539,331.8363489667518,353.8150024535539,335.1722389066319,361.83634896675176,331.83634896675176,336.8363489678076,333.8150024535539
1000.0,1000.0,1000.0,1000.0,1000.0,640.8010460004913,544.8203710332333,460.8010460004913,325.17962896676704,374.8203710332329,339.42018206876867,374.8203710332329,338.2530163339067,374.820371033233,383.4930689667364,374.820371033233,337.50000000000006,324.82037103323285,352.84171754643074,370.8010460004913,308.3010460004914,374.820371033233,369.1675853293266,360.17962896676704
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,990.9806749672584,1000.0,987.5480296665846,1000.0,990.9806749672584,1000.0,988.3010460004913,975.9806749672584,972.9593284540606,1000.0,252.5,134.01932503274153,360.0313686701822,369.0193250327417
1000.0,928.0060218187202,928.0060218187202,928.0060218187202,978.0060218187202,928.0060218187202,978.00602181872,928.0060218187202,928.0060218187202,928.0060218187202,978.0060218187202,928.0060218187202,978.0060218187202,978.00602181872,978.0060218187199,928.0060218187202,978.0060218187202,978.0060218187202,978.0060218187216,978.0060218187202,864.5253468514617,868.0060218187202,353.41515814181594,328.86299247986034
