Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
800.0,800.0,800.0,800.0,800.0,295.0,289.93955094991367,296.81403545896245
800.0,800.0,500.0,500.0,500.0,280.0,291.23200921128375,300.0
800.0,800.0,550.0,550.0,400.0000000000002,350.0,350.0,327.4830401931865
800.0,800.0,800.0,800.0,198.54166666666657,246.11111111111111,220.0,257.5169598068133
800.0,800.0,800.0,800.0,800.0,800.0,270.0,266.4058486957017
800.0,800.0,800.0,800.0,800.0,800.0,800.0,253.59415130429824
450.0,450.0,450.0,450.0,450.0,450.0,450.0,300.0
800.0,800.0,800.0,800.0,800.0,800.0,800.0,793.5941513042982
800.0,800.0,800.0,800.0,800.0,800.0,800.0,248.59415130429832
800.0,800.0,800.0,400.0,400.0,400.0,400.0,320.0
800.0,595.5555555555554,220.0,282.03703703703695,303.05555555555554,303.05555555555554,281.1111111111111,350.0
800.0,800.0,400.00000000000045,400.0,400.0,400.0,400.0,400.0
800.0,800.0,600.0000000000005,450.0,400.0,400.0,450.0,400.0
800.0,620.0,61.11111111111066,292.0370370370371,320.0,320.0,324.16666666666663,314.2970756521496
800.0,800.0,600.0000000000005,367.7919057555204,400.0,400.0,425.55555555555543,397.5169598068128
800.0,800.0,800.0,401.2821683185535,299.02777777777777,299.02777777777777,279.4444444444445,350.0
800.0,800.0,800.0,800.0,400.0,400.0,390.55555555555554,320.0
800.0,800.0,800.0,800.0,800.0,800.0,202.7777777777778,285.0
800.0,800.0,800.0,800.0,800.0,800.0,782.2222222222223,800.0
450.0,440.07638888888863,450.0,450.0,450.0,450.0,450.0,400.5653797959421
800.0,800.0,800.0,800.0,800.0,800.0,800.0,199.45426868483102
800.0,800.0,800.0,800.0,800.0,800.0,301.11111111111114,240.54573131516895
800.0,800.0,800.0,300.0,300.0,305.0,183.5178571428571,279.45426868483105
800.0,800.0,650.0,300.0,300.0,350.0,391.4821428571429,350.0000000000006
