c[1],c[2],c[3],c[4],c[5],c[6],p[1],p[2],p[3],p[4],p[5],p[6],h[1],g_plus[1],g_minus[1],dr[1],μ[1],μ[2],μ[3]
4637.5175,2273.0,2052.5,5476.148125000001,5.5929023512499975e6,1931.5,285.0,200.0,150.0,315.0,350.0,150.0,0.0,0.0,0.0,300.0,100.0,100.0,100.0
4006.42375,2273.0,2052.5,6169.415000000001,4166.46,1931.5,250.0,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
3735.955,2034.1999999999998,1845.3500000000001,5476.148125000001,4166.46,1736.65,235.0,180.0,135.0,315.0,350.0,135.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
4367.04875,2273.0,1707.25,5476.148125000001,4166.46,1931.5,270.0,200.0,125.0,315.0,350.0,150.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
4547.36125,2093.9,1639.0,4790.671875000001,4166.46,1736.65,280.0,185.0,120.0,280.0,350.0,135.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
5209.04875,2273.0,1845.3500000000001,5476.148125000001,4166.46,1931.5,315.0,200.0,135.0,315.0,350.0,150.0,0.0,0.0,0.0,185.0,100.0,85.0,0.0
5879.08,2273.0,2052.5,6169.415000000001,4166.46,1931.5,350.0,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
5209.04875,2034.1999999999998,1845.3500000000001,5872.300625000001,4166.46,1736.65,315.0,180.0,135.0,335.0,350.0,135.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
