Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5
1000.0,1000.0,961.11111111111,1000.0,965.1754385964914,1000.0,949.9999999999999,950.0,1000.0,949.9999999999997,949.9999999999999,840.0,950.0,950.0
1000.0,1000.0,899.9999999999999,900.0000000000001,900.0,900.0,899.9999999999999,900.0,900.0,899.9999999999999,899.9999999999999,952.5,899.9999999999999,900.0000000000005
1000.0,1000.0,1000.0,1000.0,1000.0,879.9999999999999,880.0,880.0,880.0,880.0,879.9999999999999,930.0,880.0,880.0000000000002
1000.0,1000.0,1000.0,999.9999999999999,1000.0,961.1111111111111,961.1111111111111,975.0,949.9999999999999,930.3703703703703,899.9999999999999,1000.0,900.0,957.6508304907927
1000.0,1000.0,960.0000000000011,907.3245614035102,907.3245614035086,949.9999999999999,1000.0,950.0,950.0,950.0,949.9999999999998,900.0,1000.0,1000.0
1000.0,1000.0,910.0000000000005,900.0000000000002,910.0,1000.0,1000.0,975.0,975.0,1000.0,982.5000000000002,1000.0,993.7500000000001,974.9999999999998
1000.0,1000.0,926.1111111111105,987.5,950.0,899.9999999999999,886.1111111111111,900.0,900.0,899.9999999999999,899.9999999999999,911.1111111111107,920.1508304907926,900.0000000000002
1000.0,1000.0,900.0,900.0,900.0,750.0,750.0,786.1111111111111,771.1111111111111,752.8703703703706,896.1111111111111,737.5000000000002,803.4602806203185,803.4602806203188
1000.0,1000.0,800.0,813.7865497076014,848.6111111111111,800.0,790.0,775.0,750.0,790.0,700.0,754.8245614035089,660.0,660.0
1000.0,950.0,850.0,777.5,777.5,777.5000000000002,685.0,700.0,690.0,655.7407407407405,710.0,650.0000000000001,650.0,690.0
1000.0,851.8253400143165,750.0,810.0,810.0,810.0,740.0,740.0,750.0,800.0,740.0,800.0,800.0,750.0
