Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
136.71199999999382,136.9919999999933,137.19199999999583,136.99199999999576,134.8320000000001,134.83200000000005,136.43200000000056,133.43200000000058,136.91200000000114,136.7120000000013,134.55200000000053,138.27200000000113,75.80700000000058,75.80700000000172,6.2650000000001
499.86400000000975,499.51400000000956,499.2640000000069,499.5140000000068,500.0,499.99999999999966,500.0,500.0,478.51600000000013,499.86400000000054,500.0,497.91400000000067,442.44299999999964,445.9240000000957,455.6900000000002
500.0,500.0,500.0,480.30800000001574,500.0,500.0,500.0,500.0,500.0,496.50763636766226,488.43499999999995,499.15800000000087,500.0,496.518999999909,499.83118351389305
500.0,500.0,500.0,500.0,495.774,500.0,500.0,431.64400000000853,498.57500000000164,480.80400000000054,498.07399999999996,477.0268115458746,498.11861451570644,500.0,496.6600000000002
500.0,500.0,500.0,500.0,500.0,472.6950000000133,500.0,500.0,498.238,500.0,500.0,483.2552995652345,496.6662742733724,496.9851115803394,500.0
500.0,500.0,500.0,464.28299999999933,453.9940000000212,433.6709999999998,500.0,500.0,500.0,463.331111111112,453.26833333333354,498.97090577293784,500.0,500.0,500.0
500.0,500.0,500.0,476.34799999999996,500.0,489.6510000000003,500.0,500.0,500.0,490.25399999999934,499.8101111111105,483.12000000000046,500.0,500.0,500.0
500.0,500.0,500.0,500.0,500.0,500.0,479.33411111111064,500.0,492.08311111111016,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,491.1930000000007,500.0,500.0,470.3309378483407,500.0,489.4329999999999,500.0,500.0,500.0,500.0,500.0,497.9613730158731
500.0,479.29000000001986,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,475.7880000000002,500.0,500.0,500.0
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,499.79700000000025,500.0,497.63800000000003,500.0,500.0
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,495.2000000000002,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,483.15011111111124,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0,483.59000000002226,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,498.56500000000045,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0,459.1090000000006,500.0,500.0,477.5609999999999,497.55155555555564,493.64000000000004,500.0,500.0,500.0,476.83199999996776,500.0
500.0,500.0,483.9000000000144,500.0,494.5079999999999,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,477.09200000015574,498.4617037037038
472.80000000003236,500.0,500.0,500.0,500.0,500.0,500.0,500.0,497.830000000003,500.0,499.99999999999994,500.0,500.0,482.1489999998766,500.0
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,496.8289999999985,500.0,500.0,500.0,500.0,499.99999999994674,500.0
500.0,500.0,493.077,500.0,500.0,500.0,500.0,500.0,500.0,480.3990000000004,495.5210000000004,500.0,498.933,498.933000000082,500.0
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
