Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
1000.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
1000.0,1000.0,1000.0,859.9999999999989,950.0,825.0,950.0,961.1111111111111,1000.0,950.0000000000005,949.9999999999999,1000.0,950.0,950.0,950.0,950.0
1000.0,1000.0,900.0,999.9999999999999,899.9999999999999,1000.0,900.0,900.0,900.0,899.9999999999999,899.9999999999999,899.9999999999999,900.0,900.0,900.0,900.0
1000.0,1000.0,895.0,930.0,891.111111111111,925.0000000000001,891.1111111111111,880.0,880.0,880.0,879.9999999999999,880.0,880.0,880.0,880.0,880.0
1000.0,1000.0,1000.0,965.0000000000005,900.0,1000.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
1000.0,1000.0,1000.0,959.9999999999995,1000.0,899.9999999999998,950.0,950.0,950.0,952.9309640522874,950.0,986.111111111111,975.0000000000001,975.0,950.0,950.0
1000.0,1000.0,1000.0,926.1111111111131,999.9999999999999,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.9999999999999,1000.0,1000.0,1000.0,975.0
1000.0,1000.0,1000.0,1000.0,859.9999999999999,900.0,900.0,974.9999999999999,908.6301335285358,914.0624999999998,900.0,900.0,900.0,936.1111111111111,925.0,986.111111111111
1000.0,1000.0,1000.0,1000.0,1000.0,801.1111111111111,760.0000000000002,725.0000000000001,698.6301335285358,894.1176470588233,900.0,741.815066764268,731.2626663166614,725.0,750.0,725.0
1000.0,1000.0,1000.0,999.9999999999999,949.9999999999999,950.0000000000001,1000.0,800.0,827.4809775825753,660.0000000000006,700.0,790.0,863.5857784777887,790.0,790.0,790.0
1000.0,1000.0,1000.0,960.0,850.0,850.0,850.0,850.0,850.0,740.0,692.0321637426898,700.0,697.5253326333226,725.0,711.1111111111111,700.0
1000.0,860.1139601139599,750.0000000000009,750.0,900.0,900.0,900.0,900.0,900.0,900.0,800.0,800.0,790.0,800.0,800.0,800.0
