Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1000.0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0
1000.0,970.0,1000.0,1000.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,900.0,900.0,727.3591888775314,723.3815789473683,720.0,715.0,708.8888888888889,170.0
1000.0,1000.0,1000.0,110.0,100.0,120.0,135.0,141.1111111111111,150.0
1000.0,0.0,0.0,92.64081112246856,96.61842105263167,97.0933589990376,97.09335899903772,100.0,100.0
1000.0,920.0,822.9066410009625,822.9066410009625,822.9066410009625,822.9066410009625,822.9066410009623,50.0,50.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,831.1111111111111,820.0,820.0,820.0,820.0,820.0000000000001,740.0,250.0
313.8499025341131,350.0,350.0,350.0,350.0,350.0,350.0,341.31657116296634,205.00000000000006
1000.0,1000.0,965.0,974.7301412028229,800.0,909.1022350550744,909.0909090909091,224.79453994814466,280.0
1000.0,1000.0,1000.0,118.33725448258659,135.0,180.8977649449256,189.11356101923968,180.20546005185543,240.0
1000.0,1000.0,550.0,304.4406310646211,289.82289116278037,204.1022350550744,150.90909090909088,359.7945399481446,286.1111111111111
1000.0,1000.0,1000.0,53.33725448258659,220.0,220.0000000000001,370.0,115.20546005185548,135.0
1000.0,1000.0,515.6832496662121,286.66274551741344,250.0,318.2044701101487,200.0,370.90565105925566,400.0
1000.0,1000.0,450.0,300.0,300.0,150.0,284.8758986815774,343.97121968202407,283.7962962962964
1000.0,350.0,44.78606927755055,249.0336978427049,274.82289116278037,350.0,245.0,195.0,306.2037037037036
1000.0,250.0,99.78606927755055,250.0,250.0,250.0,250.0,250.0,250.0
1000.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,1000.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
191.8421052631577,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,250.0,250.0,250.0
