Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
246.90943043884226,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
1000.0,1000.0,1000.0,950.0,859.9999999999998,950.0000000000001,961.1111111111113,950.0,951.5339192212767,951.1111111111111,956.1111111111115,951.5339192212767,949.9999999999999,949.9999999999999,950.0,950.0,950.0
993.0905695611577,1000.0,999.9999999999999,940.0,1000.0,900.0,900.0000000000002,911.1111111111111,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,961.1111111111111
1000.0,1000.0,930.0,930.0,930.0,880.0,879.9999999999999,880.0,880.0,880.0,880.0,880.0,879.9999999999999,880.0,880.0,880.0,880.0
1000.0,1000.0,1000.0,1000.0,1000.0,961.1111111111111,999.9999999999999,1000.0,934.5771918898337,1000.0,939.9999999999992,899.9999999999999,899.9999999999993,986.1111111111112,936.1111111111111,900.0,900.0
1000.0,1000.0,925.0000000000018,1000.0,875.99766573296,999.9999999999998,950.0,950.0,1000.0,950.0,950.0,960.3216374269005,950.0,949.9999999999999,1000.0,952.429748262138,950.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,983.3333333333335,977.9200986551259,977.4297482621384,974.9999999999998
1000.0,1000.0,1000.0,1000.0,900.0000000000002,900.0,899.9999999999998,900.0,900.0,896.8970601635805,900.0,900.0,899.9999999999994,899.9999999999999,900.0,956.1111111111115,900.0
1000.0,1000.0,900.0,886.1111111111112,750.0,750.0,710.0,710.0,760.0,750.0,757.500000000001,899.2555544629336,900.0,733.3333333333336,736.039950672437,727.4297482621384,725.0
1000.0,1000.0,846.1111111111095,821.1111111111111,884.7583643122678,800.0,800.0,800.0,790.0,790.0,790.0,700.0,671.1111111111117,790.0,790.0,817.5702517378614,790.0
1000.0,950.0,850.0,850.0,860.3550810658833,850.0,850.0,850.0,700.0,685.0,700.0,725.0000000000001,725.0,700.0,700.0,700.0,725.0
1000.0,846.3726884779517,810.0,790.0,810.0,810.0,810.0,810.0,800.0000000000009,800.0,800.0,750.0,750.0,800.0,800.0,800.0,800.0
