Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
350.0,350.0,350.0,350.0,350.0,350.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
1000.0,925.0,1000.0,925.0,1000.0,1000.0,915.0,950.0,950.0000000000003,949.9999999999977,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0000000000002,950.0,950.0
1000.0,1000.0,999.9999999999999,1000.0,1000.0,1000.0,999.9999999999999,899.9999999999999,900.0,900.0,900.0,899.9999999999999,900.0,900.0,899.9999999999999,900.0,899.9999999999999,900.0,900.0,899.9999999999999
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,880.0000000000001,880.0,880.0,880.0,879.9999999999995,880.0,880.0,880.0,880.0,880.0000000000001,879.9999999999999,880.0,880.0000000000002
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,799.9999999999999,900.0,900.0,900.0000000000001,900.0,900.0,900.0,900.0,900.0,900.0,899.9999999999999,900.0,900.0,900.0000000000005
1000.0,1000.0,900.0000000000001,900.0000000000007,900.0,900.0,975.0,950.0000000000002,950.0,950.0000000000002,950.0,950.0000000000002,950.0,950.0,950.0,950.0,949.9999999999997,950.0,950.0,949.9999999999999
1000.0,1000.0,1000.0,909.9999999999993,910.0000000000007,1000.0,961.1111111111113,999.9999999999997,950.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,900.0000000000002,1000.0,1000.0,900.0,800.0,900.0000000000001,982.9825683914378,900.0000000000002,900.0,900.0,900.0,900.0,900.0000000000005,900.0,900.0,900.0,900.0,900.0
1000.0,1000.0,867.5,900.0,900.0,850.0000000000002,899.9999999999999,800.0,792.0174316085624,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
1000.0,1000.0,950.0,950.0,950.0,950.0,775.0000000000001,900.0,794.0936795025486,875.0000000000005,900.0,875.0000000000002,900.0,900.0,848.8888888888891,850.0,790.2263374485598,788.8888888888889,790.2263374485597,850.0
1000.0,1000.0,1000.0,800.0000000000002,800.0,800.0,800.0,775.0,800.0,800.0,761.1111111111111,800.0,719.4444444444443,680.5555555555554,686.111111111111,675.0,684.7736625514403,686.1111111111112,684.7736625514403,675.0000000000002
1000.0,1000.0,1000.0,761.111111111112,761.1111111111111,750.0,750.0,725.0000000000002,750.0,750.0,750.0,736.1111111111111,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
1000.0,1000.0,1000.0,789.4736842105264,789.4736842105264,789.4736842105264,736.8421052631579,736.8421052631579,713.0730050933788,710.5263157894738,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
1000.0,1000.0,1000.0,1000.0,741.9354838709677,741.9354838709677,731.1827956989247,731.1827956989247,714.9651009243535,731.1827956989247,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0
1000.0,1000.0,1000.0,789.4736842105264,789.4736842105264,789.4736842105264,736.8421052631579,723.0862101490286,713.0730050933788,699.9999999999998,700.0,700.0,711.1111111111111,700.0,700.0,700.0,700.0,700.0,700.0,700.0
1000.0,1000.0,1000.0,780.5555555555554,780.5555555555557,780.5555555555557,760.5555555555555,699.179211469534,773.5893609655716,721.1111111111109,675.0,675.0000000000002,690.2777777777778,755.5555555555557,761.1111111111113,761.1111111111111,761.1111111111113,761.1111111111114,761.1111111111112,761.1111111111113
1000.0,1000.0,950.0,950.0,950.0,950.0,815.0,786.111111111111,815.0,853.8888888888891,900.0,899.9999999999998,900.0,819.4444444444443,636.1111111111112,675.0,613.8888888888886,763.8888888888889,763.8888888888889,687.4999999999999
1000.0,1000.0,900.0,900.0,900.0000000000002,900.0,910.0,800.0,910.0,882.222222222222,836.1111111111111,910.0,910.0,910.0,950.0,900.0,922.2222222222222,722.2222222222221,711.111111111111,875.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,800.0,825.0000000000002,1000.0,1000.0,950.0,874.9999999999995,960.0,981.666666666667,825.0,949.0740740740741,863.888888888889,852.7777777777778,863.8888888888889,700.0
1000.0,875.0000000000032,936.111111111111,950.0,910.0000000000002,900.0,1000.0,1000.0,675.0,674.4019996227128,725.0,800.0000000000006,715.0,604.4444444444448,749.9999999999998,700.0,872.2222222222222,633.3333333333331,622.2222222222222,936.1111111111111
1000.0,925.0000000000052,900.0,900.0000000000002,900.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,924.9999999999995,910.0,920.5555555555551,775.0000000000002,849.0740740740742,794.5576131687244,952.777777777778,963.8888888888889,667.5000000000001
1000.0,1000.0,1000.0,1000.0,1000.0,861.1111111111111,774.9999999999999,625.0000000000002,625.0,625.0,636.1111111111111,711.1111111111114,726.1111111111111,804.4444444444449,949.9999999999998,612.9629629629629,750.0,672.2222222222218,661.1111111111111,950.0000000000001
1000.0,1000.0,950.0,950.0,900.0000000000002,1000.0,961.1111111111114,1000.0,1000.0,1000.0,988.8888888888889,824.9999999999998,825.0,820.5555555555552,775.0000000000002,912.037037037037,824.9999999999999,902.777777777778,913.8888888888889,624.9999999999999
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,950.0,1000.0,1000.0,1000.0,1000.0,1000.0
