Column1,Column2,Column3
500.0,500.0,500.0
500.0,468.36830999999995,468.36830999999995
500.0,420.129636,420.129636
500.0,468.394674,468.394674
500.0,378.47379,378.47379
500.0,428.300616,428.300616
500.0,472.93901400000004,472.93901400000004
500.0,500.0,500.0
500.0,500.0,500.0
500.0,500.0,500.0
500.0,427.33269985749996,492.81501000000003
500.0,500.0,500.0
500.0,451.8937800000001,500.0
500.0,500.0,500.0
500.0,349.18094999999994,430.8436200000001
500.0,436.00036,336.00036
500.0,326.81431,268.98410562500584
500.0,248.3248799999999,248.3248799999999
250.0,0.0,33.67975900273933
500.0,309.06214,309.06214
500.0,357.41595188851295,275.7374
500.0,278.09851000000003,278.09851000000003
500.0,441.71477400000003,408.0350149972607
500.0,430.16639299999997,430.16639299999997
