Column1,Column2,Column3,Column4,Column5,Column6,Column7
1000.0,1000.0,1000.0,1000.0,1000.0,50.0,50.0
1000.0,1000.0,1000.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,955.0,990.0,992.5,992.5,170.0
1000.0,1000.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,1000.0,100.0,100.0,100.0,100.0
1000.0,1000.0,50.0,50.0,50.0,50.0,50.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,1000.0,1000.0,250.0,250.0,250.0
350.0,350.0,350.0,350.0,350.0,350.0,350.0
1000.0,1000.0,1000.0,1000.0,400.0,450.0,450.0
1000.0,1000.0,1000.0,475.0,350.0,255.55555555555554,300.0
1000.0,1000.0,408.6111111111111,173.6111111111111,174.3055555555555,350.0,223.6111111111111
1000.0,570.0,307.5,507.5,493.1944444444445,328.6111111111111,455.0
1000.0,1000.0,1000.0,1000.0,180.55555555555554,200.0,250.0
1000.0,1000.0,450.0,450.0,418.05555555555554,450.0,437.5
1000.0,1000.0,350.0,350.0,350.0,350.0,350.0
1000.0,250.0,250.0,250.0,250.0,250.0,250.0
1000.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0
1000.0,1000.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0
1000.0,1000.0,1000.0,1000.0,250.0,250.0,250.0
