Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
246.90943043884226,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
1000.0,1000.0,1000.0,950.0,859.9999999999998,840.0,950.0,950.0000000000001,950.0,950.0,950.0,950.0,950.0,950.0,950.0
993.0905695611577,1000.0,999.9999999999999,940.0,1000.0,1000.0,900.0000000000002,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
1000.0,1000.0,930.0,930.0,930.0,930.0,880.0,891.1111111111111,915.5844723314605,880.0,880.0,880.0,880.0,880.0,880.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,961.1111111111111,949.9999999999997,900.0,900.0,900.0,900.0,900.0,900.0,900.0
1000.0,1000.0,925.0000000000018,1000.0,875.99766573296,931.1111111111109,1000.0,950.0,950.0,950.0,950.0,1000.0,950.0,950.0,950.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,990.4057064839127,987.1743099231239,975.0,998.333333333333,975.0
1000.0,1000.0,1000.0,1000.0,900.0000000000002,900.0,900.0,900.0000000000002,900.0,995.559200391616,981.7319892750654,938.6926279682882,995.5592003916156,939.444444444445,986.1111111111111
1000.0,1000.0,900.0,886.1111111111112,750.0,765.0000000000003,760.0,760.0,737.0436423448472,729.440799608384,729.3791218360457,729.1871401048127,729.4407996083844,748.333333333333,725.0
1000.0,1000.0,846.1111111111095,821.1111111111111,884.7583643122678,810.0,810.0,790.0,815.5266387796506,794.4407996083845,794.3791218360457,794.1871401048124,794.440799608384,790.0,790.0
1000.0,950.0,850.0,850.0,860.3550810658833,700.0,674.9999999999998,725.0,725.0,691.6703115027268,700.0,693.2313430380104,686.1111111111113,700.0,700.0
1000.0,846.3726884779517,810.0,790.0,810.0,800.0,800.0,800.0,800.0,794.4407996083843,800.0,800.0,800.0,800.0,800.0
