Column1,Column2,Column3,Column4
500.0,500.0,400.0,400.0
500.0,50.0,50.0,50.0
500.0,50.0,50.0,50.0
500.0,50.00000000000003,50.0,50.0
500.0,50.0,41.76328502415455,50.00000000000001
500.0,250.0,50.0,50.0
500.0,50.00000000000753,50.0,50.00000000000001
500.0,49.99999999999996,50.0,50.0
500.0,50.0,50.0,50.0
500.0,50.0,50.0,50.0
500.0,49.99999999999997,50.0,50.0
500.0,50.0,50.0,50.0
500.0,50.0,50.0,49.99999999999999
500.0,135.277777777798,50.000000000000014,50.000000000000014
500.0,170.277777777798,50.0,77.85066290798885
500.0,50.0,50.0,50.0
500.0,331.87134502925437,497.80701754388156,250.0
500.0,250.0,50.0,50.0
500.0,50.0,50.0,50.0
500.0,50.0,49.99999999999999,50.0
500.0,250.0,50.0,50.0
500.0,50.0,50.0,50.00000000000001
450.0,50.000000000007496,50.00000000000001,50.0
500.0,500.0,500.0,319.44444444444434
