Column1,Column2,Column3,Column4,Column5,Column6,Column7
800.0,800.0,800.0,800.0,800.0,472.31137255555564,481.6261809999997
800.0,481.6316900000001,481.6316900000001,481.6316900000001,418.36830999999995,338.36830999999995,378.3683100000003
800.0,800.0,800.0,800.0,399.8703639999999,429.8703639999999,400.0720070351337
800.0,800.0,800.0,518.394674,381.60532599999993,331.60532599999993,438.2548146958467
800.0,800.0,800.0,800.0,418.12744199999906,421.52621,404.65290041526447
800.0,800.0,800.0,371.699384,421.69938400000115,371.699384,351.9514535884351
800.0,622.9390140000015,404.5928051111113,277.06098599999996,277.06098599999996,462.9390139999998,372.796744413415
800.0,800.0,217.78180988888877,370.5643989999999,434.8433190000002,269.43560100000025,357.16801967413136
800.0,557.1394600000001,344.5143311111112,257.13946000000016,312.8605399999999,361.87845037037033,352.45687999999996
800.0,800.0,368.14437888888875,399.79817,399.79817,350.7802596296294,360.20183000000003
800.0,592.8150100000003,210.18988111111116,208.29610111111106,297.18498999999997,366.20290037037057,336.78133
800.0,800.0,262.9520399999999,379.673088888889,264.84582,284.17209037037065,284.84582
800.0,800.0,800.0,800.0,301.8937800000001,362.8758696296295,301.8937800000001
800.0,800.0,694.4490688888912,305.02457000000004,384.97542999999996,359.5876857407409,332.3481211111109
800.0,800.0,800.0,439.1563799999999,265.44472777883897,316.3716099999997,364.47223999815054
800.0,800.0,800.0,800.0,349.71201222116093,279.18605,236.0003599981506
800.0,800.0,800.0,800.0,800.0,800.0,403.1856900018494
348.32488000000023,348.32488,348.32488,348.32488,348.32488,348.32488,348.32488
199.00259000000005,199.00259000000005,199.00259000000005,199.00259000000005,199.00259000000005,199.00259000000005,199.00259000000005
800.0,800.0,800.0,409.06214,409.06214,405.20046,409.06214
800.0,800.0,800.0,800.0,216.13832000000002,220.0,234.26260000000002
800.0,533.83591,573.8359099999998,478.09851000000003,331.13688111111105,316.87428111111126,328.09851000000003
800.0,800.0,800.0,312.8258851111111,398.28522599999997,398.28522599999997,348.28522599999997
800.0,800.0,800.0,569.833607,569.8336069999999,569.8336069999999,569.8336070000004
