Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,950.0,950.0,950.0,950.0,950.0,949.9999999999997,950.0,950.0,949.9999999999999,950.0
1000.0,1000.0,900.0,899.9999999999999,899.9999999999999,899.9999999999999,899.9999999999999,900.0000000000002,900.0,900.0,900.0
1000.0,980.0,891.1111111111112,941.1111111111113,880.0,880.0,880.0,880.0,880.0,880.0,880.0
1000.0,900.0000000000001,1000.0,899.9999999999999,900.0,899.9999999999999,900.0,899.9999999999999,899.9999999999999,899.9999999999999,900.0
1000.0,1000.0,1000.0,1000.0,1000.0,950.0000000000001,1000.0,975.9795509795506,1000.0,974.9999999999998,966.6826902300797
1000.0,1000.0,1000.0,1000.0,1000.0,999.9999999999999,1000.0,1000.0,1000.0,1000.0,975.0
1000.0,1000.0,1000.0,899.9999999999999,899.9999999999999,975.0,950.0,965.9795509795506,900.0,899.9999999999999,900.0
1000.0,971.1111111111111,940.0,940.0,861.1111111111112,849.6093750000002,771.1111111111111,759.1520091520098,861.1111111111111,886.1111111111113,811.1111111111111
1000.0,700.0,724.9999999999998,760.0,700.0,661.1111111111109,752.9005524861877,750.0,650.8177672542314,640.0,720.1657458563535
1000.0,861.111111111111,750.0,700.0,725.0000000000003,750.0,672.0994475138124,690.9795509795506,701.1111111111109,699.9999999999999,713.1515639135669
1000.0,1000.0,850.0,850.0,850.0,760.0,760.0,750.0,750.0,750.0,750.0
