Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0
1000.0,1000.0,987.5,1000.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,917.5,1000.0,917.5,887.5,935.0,930.0,170.0,170.0
1000.0,1000.0,1000.0,1000.0,150.0,102.5,107.5,150.0,150.0
1000.0,0.0,0.0,100.0,67.5,100.0,100.0,100.0,100.0
1000.0,937.5,890.6481481481482,806.25,812.5,880.0,880.0,50.0,50.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,848.6111111111111,1000.0,1000.0,1000.0,115.13888888888883,115.13888888888886,122.15277777777777,240.81851851851837
350.0,350.0,350.0,350.0,350.0,350.0,350.00000000000006,350.0,291.6814814814816
1000.0,1000.0,1000.0,1000.0,1000.0,913.3333333333335,913.3333333333333,969.3055555555555,334.1666666666666
1000.0,1000.0,1000.0,124.30555555555554,131.80555555555554,145.83333333333326,145.83333333333337,131.80555555555554,155.0
1000.0,1000.0,550.0,420.0,420.0,436.66666666666674,436.66666666666663,450.69444444444446,427.5
1000.0,1000.0,570.0,570.0,570.0,551.1111111111111,551.1111111111111,570.0,551.1111111111111
1000.0,1000.0,415.0,406.25,445.0,400.0,400.0,471.1111111111111,400.0
1000.0,450.0,70.46296296296293,26.25,71.38888888888891,160.0,160.0,61.388888888888914,160.0
1000.0,1000.0,274.53703703703707,289.8611111111111,244.72222222222217,200.0,200.0,273.6111111111111,282.5
1000.0,250.0,205.46296296296293,227.5,215.0,250.0,250.0,170.0,250.0
1000.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,1000.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
1000.0,1000.0,1000.0,1000.0,1000.0,250.0,250.0,250.0,250.0
