Column1,Column2,Column3,Column4,Column5
1000.0,1000.0,137.5,137.5,137.5
1000.0,1000.0,925.0000000000009,1000.0,950.0000000000001
1000.0,1000.0,900.0,900.0,911.1111111111107
1000.0,1000.0,882.5,880.0,880.0
1000.0,1000.0,1000.0,961.1111111111112,999.9999999999999
1000.0,1000.0,1000.0,949.9999999999997,950.0
1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,810.0,900.0000000000002
1000.0,1000.0,1000.0,999.9999999999998,750.0
1000.0,1000.0,800.0,800.0,810.0
1000.0,950.0,798.6111111111111,777.4999999999998,800.0000000000005
1000.0,750.0,810.0000000000001,810.0,760.0
