Gen No.,Line1,Line2,Line3,Line4
1,0.035,0.035,0.035,0.035
2,0.034,0.034,0.034,0.034
3,0.037,0.037,0.037,0.037
4,0.023,0.023,0.023,0.023
5,0.022,0.022,0.022,0.022
6,0.03,0.03,0.03,0.03
