c[1],c[2],c[3],c[4],c[5],c[6],p[1],p[2],p[3],p[4],p[5],p[6],h[1],g_plus[1],g_minus[1],dr[1],μ[1],μ[2],μ[3]
5879.08,2273.0,1948.9250000000002,4884.516250000001,4166.46,1931.5,350.0,200.0,142.5,285.0,350.0,150.0,0.0,0.0,0.0,272.5,72.5,100.0,100.0
5544.064375,2273.0,2052.5,4556.0609375,4166.46,1931.5,332.5,200.0,150.0,267.5,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
5209.04875,2153.6,1948.9250000000002,4227.605625,3944.69125,1834.075,315.0,190.0,142.5,250.0,332.5,142.5,0.0,0.0,0.0,177.5,77.5,100.0,0.0
4874.033125,2273.0,2052.5,3899.150312500001,4166.46,1931.5,297.5,200.0,150.0,232.5,350.0,150.0,0.0,0.0,0.0,130.0,100.0,30.0,0.0
5209.04875,2153.6,1948.9250000000002,4227.605625,3944.69125,1931.5,315.0,190.0,142.5,250.0,332.5,150.0,0.0,0.0,0.0,170.0,100.0,70.0,0.0
5544.064375,2273.0,2052.5,4556.0609375,4166.46,1931.5,332.5,200.0,150.0,267.5,350.0,150.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
5879.08,2273.0,2052.5,4355.202612106386,4166.46,1931.5,350.0,200.0,150.0,256.79832899448616,350.0,150.0,0.0,0.0,0.0,300.0,100.0,100.0,100.0
5544.064375,2153.6,1948.9250000000002,4026.747299606387,3944.69125,1909.9751640377278,332.5,190.0,142.5,239.29832899448616,332.5,148.34296874809297,0.0,0.0,0.0,164.85870225742087,64.85870225742087,100.0,0.0
5209.04875,2034.1999999999998,1845.3500000000001,3701.617722863364,3722.9224999999997,1812.5501640377277,315.0,180.0,135.0,221.79832899448616,315.0,140.84296874809297,0.0,0.0,0.0,55.85260416285132,55.85260416285132,0.0,0.0
4874.033125,1915.9,1741.775,3391.3405353633643,3501.15375,1715.1251640377277,297.5,170.0,127.5,204.29832899448616,297.5,133.34296874809297,0.0,0.0,0.0,3.858702257420873,3.858702257420873,0.0,0.0
4547.36125,1798.7,4.93981865207067e6,3081.063347863364,3691.24125,1812.5501640377277,280.0,160.0,0.0,186.79832899448616,312.5,140.84296874809297,0.0,0.0,0.0,100.0,100.0,0.0,0.0
4231.814375,0.0,2052.5,2770.786160363364,3469.4725,1715.1251640377277,262.5,0.0,150.0,169.29832899448616,295.0,133.34296874809297,0.0,0.0,0.0,160.0,60.0,100.0,0.0
3916.2675,1982.8779518058354,0.0,2471.6253336203417,3251.4537499999997,0.0,245.0,175.70167100551384,0.0,151.79832899448616,277.5,0.0,0.0,0.0,0.0,200.0,0.0,100.0,100.0
4199.257951388887,0.0,695.5,2358.1518750000005,3036.2475,650.5,260.69444444444434,0.0,50.0,145.0,260.0,50.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
4514.804826388887,2273.0,0.0,2650.2509375000004,3066.99125,0.0,278.19444444444434,200.0,0.0,162.5,262.5,0.0,0.0,0.0,0.0,200.0,100.0,0.0,100.0
4547.36125,0.0,1639.0,2960.5281250000003,3282.1974999999998,1542.3999999999999,280.0,0.0,120.0,180.0,280.0,120.0,0.0,0.0,0.0,170.0,100.0,70.0,0.0
4874.033125,1915.9,1741.775,3270.8053125,3501.15375,1639.2250000000001,297.5,170.0,127.5,197.5,297.5,127.5,0.0,0.0,0.0,3.5,3.5,0.0,0.0
5209.04875,2034.1999999999998,1845.3500000000001,3581.0825000000004,3722.9224999999997,1736.65,315.0,180.0,135.0,215.0,315.0,135.0,0.0,0.0,0.0,55.0,0.0,55.0,0.0
5544.064375,2153.6,1948.9250000000002,3899.150312500001,3944.69125,1834.075,332.5,190.0,142.5,232.5,332.5,142.5,0.0,0.0,0.0,177.5,0.0,100.0,77.5
5879.08,2273.0,2052.5,4227.605625,4166.46,1931.5,350.0,200.0,150.0,250.0,350.0,150.0,0.0,0.0,0.0,300.0,100.0,100.0,100.0
5879.08,2273.0,1948.9250000000002,4556.0609375,4166.46,1834.075,350.0,200.0,142.5,267.5,350.0,142.5,0.0,0.0,0.0,197.5,97.5,100.0,0.0
5879.08,2273.0,1845.3500000000001,4790.671875000001,4166.46,1736.65,350.0,200.0,135.0,280.0,350.0,135.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
5879.08,2153.6,1741.775,4462.216562500001,3944.69125,1639.2250000000001,350.0,190.0,127.5,262.5,332.5,127.5,0.0,0.0,0.0,60.0,60.0,0.0,0.0
5591.92375,2034.1999999999998,1639.0,4133.7612500000005,4166.46,1542.3999999999999,335.0,180.0,120.0,245.0,350.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
