Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
800.0,800.0,800.0,800.0,800.0,481.62618100000003,481.62618100000003,395.7830095438185
800.0,631.6316900000002,481.6316900000001,431.6316900000001,476.63169,279.23508722766576,281.6316900000001,445.69541454381834
800.0,800.0,800.0,800.0,400.0720070351335,429.8703639999999,429.8703639999999,387.08391856729264
800.0,800.0,800.0,518.394674,361.6053259999998,331.60532599999993,331.60532599999993,331.60532599999993
800.0,800.0,800.0,800.0,404.6529004152642,421.52621,421.52621,421.52621
800.0,800.0,800.0,371.69938400000035,398.7886093333327,354.8638325988586,371.699384,337.8281820000001
800.0,564.0971021988437,534.0501251111111,457.9390139999996,277.06098599999996,416.25071680207304,428.74427758247424,462.160901555556
800.0,550.564399,550.564399,550.564399,455.08330788888907,482.3055301111101,550.564399,449.4356010000001
800.0,557.1394600000001,477.8605399999999,407.1394600000001,478.4905600000001,407.1394600000001,607.1394600000001,557.1394600000001
800.0,549.79817,380.20183,249.79817000000003,249.79817000000003,249.79817000000003,272.0694171613406,399.79817
800.0,800.0,97.81501000000006,242.81501000000023,308.29610111111106,362.1849900000011,238.5360899999999,203.9329355555555
800.0,800.0,395.7842000000001,431.41617070370376,350.3269111111109,383.94173999999936,357.99152209182466,365.9637455555554
800.0,800.0,800.0,4.3682107037037,186.72104888888924,153.10622000000077,60.3271375855027,166.84464000000003
800.0,800.0,534.1730625434578,484.8756890000002,385.02457000000004,385.02457000000004,465.02457000000004,385.02457000000004
800.0,800.0,525.8436200000001,494.6121945555557,530.8436200000001,530.8436200000001,530.8436200000001,527.8947999999982
800.0,800.0,448.98250997357366,434.4554545555558,515.7556920990727,515.7556920990726,386.00036,386.00036
800.0,800.0,229.40596570296003,283.48943,234.9417420990727,234.94174209907123,274.66657284511035,276.81431000000003
800.0,800.0,719.08346429704,800.0,783.5476879009273,783.54768790093,193.82285715488968,191.6751200000001
89.00259000000005,199.00259000000005,157.46789429703983,199.00259000000005,199.00259000000005,199.00259000000005,199.00259000000005,199.00259000000005
800.0,800.0,800.0,800.0,800.0,800.0,709.1967082660007,311.1573311111126
800.0,800.0,800.0,800.0,800.0,800.0,321.4976128451102,268.06557999999995
800.0,800.0,800.0,800.0,398.09851000000003,435.02209145800765,242.33829715488986,328.09851000000003
799.4318479893493,800.0,800.0,512.8258851111112,346.71477400000003,348.28522599999997,452.4749868451102,348.28522599999997
800.0,800.0,800.0,519.833607,569.8336070000003,569.833607,569.833607,569.8336070000003
