Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,170.0,170.0,170.0,170.0,170.0,170.0
1000.0,1000.0,150.0,150.0,150.0,140.0,137.40740740740767,150.0
1000.0,635.0,618.6594869763801,635.0,635.0,565.6774424866549,620.0,100.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
350.0,350.0,350.0,350.0,350.0,322.1662216510865,301.29629629629636,343.77729335988664
1000.0,955.0,1000.0,1000.0,1000.0,332.8337783489135,353.70370370370387,311.22270664011336
1000.0,965.0,208.31047136738002,305.00000000000006,150.0,192.16622165108652,177.40740740740708,210.11159552900233
1000.0,485.0,214.1176470588225,200.0,250.0,320.0773609598553,326.2962962962962,364.8884044709977
1000.0,555.0,301.68952863262007,370.0,370.0,372.1662216510865,370.0,369.88840447099767
1000.0,550.0,341.0876054025829,400.0,512.7336448598127,492.08796405648224,400.0,400.0
1000.0,950.0,293.31047136737993,256.11111111111103,198.35396054277027,201.00035865389964,280.0000000000001,281.2227066401134
1000.0,1000.0,348.31047136737993,315.0,300.0,350.0,150.0,299.9999999998595
1000.0,911.1111111111111,1000.0,140.0,76.67698027138516,66.99982067305024,250.0,155.00000000014052
1000.0,505.00000000000006,685.0235057085285,540.0000000000001,685.0235057085282,685.0235057085284,150.0,150.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
