Column1,Column2,Column3,Column4
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,483.8818431329121,483.8818431329121
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,475.3840807658805,475.3840807658805,475.3840807658805
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,428.85898279031244
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
500.0,500.0,500.0,500.0
462.5488136224669,462.5488136224669,462.5488136224669,462.5488136224669
