Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,950.0,950.0,950.0000000000001,950.0000000000002,949.9999999999995,950.0,950.0000000000002,950.0
1000.0,900.0,899.9999999999999,899.9999999999999,899.9999999999999,899.9999999999999,900.0000000000002,900.0,900.0
1000.0,941.1111111111111,951.1111111111111,920.7407407407404,980.0,880.0,980.0000000000001,880.0,880.0
1000.0,900.0,899.9999999999999,900.0,900.0,924.0740740740748,900.0000000000002,899.9999999999999,900.0
1000.0,1000.0,950.0,949.9999999999999,961.1111111111109,999.9999999999999,953.7037037037036,975.0000000000001,950.0
1000.0,986.1111111111111,1000.0,1000.0,986.1111111111111,1000.0,978.7037037037037,1000.0,975.0
1000.0,900.0,900.0,970.3703703703704,900.0,937.0370370370365,900.0,900.0000000000002,900.0
1000.0,1000.0,710.0,750.0,800.0,712.0370370370375,807.4074074074076,886.1111111111109,876.1111111111111
1000.0,950.0,950.0,745.3703703703704,700.0,750.0,675.0000000000003,660.0,660.0
1000.0,700.0,700.0,690.0,675.0,690.0,690.0,690.0,725.0
1000.0,900.0,750.0,750.0,760.0,750.0,750.0,750.0,750.0
