Column1,Column2,Column3,Column4
116.07107509881943,116.0710750988199,105.73018620993035,125.46700000000014
1000.0,608.0780000000007,700.3371862099309,706.834000000001
1000.0,1000.0,1000.0,991.2159219561369
1000.0,1000.0,903.083140152552,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,937.8430227828675,965.3770573283892
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0
