Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,818.8729727
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,736.9918090062187,548.9840101999998,469.83118442791067
983.7615666462268,967.7868200102386,952.0714782328422,936.6113289855298,921.4022283414092,906.440099664469,891.72093251688,877.2407815840402,862.9957656170758,848.9820663925144,835.1959276888508,821.6336542797326,1000.0,878.0955910000014,628.095591,478.095591,471.904409,471.904409
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,666.3268015502855,500.6111341,350.6111341,449.38886590000004
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,538.1395519,388.1395519,388.1395519
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,664.577526756983,503.7370303,446.2629697,446.2629697
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,648.2287423502455,513.6800812093128,418.5512834
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,649.0351931483258,514.6515308653077,419.85770679999996
970.3857964601792,941.6485939716564,913.7624208467937,886.7020745287974,860.4430988145203,834.9617617517931,810.2350341913083,786.2405689736734,762.9566807328225,740.3623262975347,718.4370856733443,697.1611435876583,1000.0,1000.0,653.3945174,453.39451740000004,446.60548259999996,446.60548259999996
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,490.4698576,340.4698576,459.53014240000005,459.53014240000005
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,669.4762246896744,494.89980770000005,455.1001923,455.1001923
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,723.9029049999999,598.246498938796,475.8213402660859,426.09709499999997
966.5912578087026,934.2986596722097,903.0849166215462,872.9139854652876,843.7510271696998,815.5623666293449,788.3154537817007,761.9788260208923,736.5220718671327,711.9157958499234,688.1315845644609,665.141973862058,1000.0,1000.0,626.4062887,326.4062887,473.5937113,423.5937113
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,644.6100175730058,509.32971354944107,412.76206390000004
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,644.870333680994,509.64218322636816,413.1745781
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,711.2093391178311,519.3334465,430.66655349999996,430.66655349999996
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,740.1759161000016,655.2065796383582,540.1759161
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,670.1942095416583,493.5825089,456.4174911,456.4174911
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,720.3035061999999,520.3035061999999,370.30350619999996,429.6964938
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,646.6392994750456,524.4574751624377,411.7811776
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,644.5115981310946,509.21159537238043,412.60625930000003
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,649.8666475111044,515.6538425420059,378.78906400000005
969.7618883112921,940.4381200210829,912.0010471115669,884.4238575887888,857.6805502028611,831.7459099325945,806.5954842114267,782.2055598722341,758.5531407892892,735.6159261962823,713.3722896599669,691.8012586895995,1000.0,1000.0,657.5749111000003,457.5749111,457.5749111,457.5749111
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,766.2591952298337,658.2635255
