c[1],c[2],c[3],c[4],c[5],c[6],p[1],p[2],p[3],p[4],p[5],p[6],h[1],g_plus[1],g_minus[1],dr[1],μ[1],μ[2],μ[3]
5240.375582500002,2273.0,2052.5,3804.7657692774983,4166.46,1931.5,316.6364000000001,200.0,150.0,227.4712199999999,350.0,150.0,0.0,0.0,0.0,400.0,200.0,200.0,0.0
5879.08,2273.0,2052.5,4461.676394277499,4166.46,1931.5,350.0,200.0,150.0,262.4712199999999,350.0,150.0,0.0,0.0,0.0,400.0,200.0,200.0,0.0
5209.04875,2273.0,2052.5,5040.782865940002,4166.46,1931.5,315.0,200.0,150.0,293.0203200000001,350.0,150.0,0.0,0.0,0.0,348.8014599999997,200.0,148.80145999999968,0.0
5879.08,2273.0,2052.5,5734.049740940002,4166.46,1931.5,350.0,200.0,150.0,328.0203200000001,350.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5435.90078737548,2273.0,2052.5,6169.415000000001,4166.46,1931.5,326.8499268625781,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,297.13454313742176,200.0,97.13454313742176,0.0
4976.64132775,2273.0,2052.5,6169.415000000001,3722.9224999999997,1931.5,302.85988,200.0,150.0,350.0,315.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4547.36125,2273.0,2052.5,6169.415000000001,4166.46,1931.5,280.0,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,410.72614,200.0,200.0,10.726139999999987
3916.2675,2034.1999999999998,1845.3500000000001,5476.148125000001,3722.9224999999997,1931.5,245.0,180.0,135.0,315.0,315.0,150.0,0.0,0.0,0.0,116.9358000000002,116.9358000000002,0.0,0.0
4547.36125,2034.1999999999998,1639.0,4790.671875000001,3722.9224999999997,1736.65,280.0,180.0,120.0,280.0,315.0,135.0,0.0,0.0,0.0,140.77966000000015,140.77966000000015,0.0,0.0
5209.04875,2273.0,1845.3500000000001,5476.148125000001,4166.46,1931.5,315.0,200.0,135.0,315.0,350.0,150.0,0.0,0.0,0.0,300.5704599999999,200.0,100.57045999999991,0.0
5879.08,2273.0,2052.5,6169.415000000001,4166.46,1931.5,350.0,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,218.26233999999977,200.0,18.262339999999767,0.0
5879.08,2273.0,2052.5,6169.415000000001,4166.46,1931.5,350.0,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,346.31979999999976,200.0,146.31979999999976,0.0
5879.08,2273.0,2052.5,6169.415000000001,4166.46,1931.5,350.0,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,239.13662999999997,200.0,39.13662999999997,0.0
5209.04875,2273.0,2052.5,5476.148125000001,4166.46,1736.65,315.0,200.0,150.0,315.0,350.0,135.0,0.0,0.0,0.0,380.13888,180.13887999999997,200.0,0.0
4547.36125,2273.0,2052.5,6169.415000000001,4166.46,1931.5,280.0,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,292.5410999999999,92.54109999999991,200.0,0.0
4984.726882,2273.0,2052.5,5476.148125000001,4166.46,1931.5,303.28224,200.0,150.0,315.0,350.0,150.0,0.0,0.0,0.0,400.0,200.0,200.0,0.0
4336.07539,2273.0,2052.5,6169.415000000001,4166.46,1931.5,268.28224,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,326.01991,200.0,126.01990999999998,0.0
3704.98164,2273.0,2052.5,6169.415000000001,4166.46,1931.5,233.28224,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,317.19250999999986,200.0,117.19250999999986,0.0
3753.4453124999964,2273.0,2052.5,5476.148125000001,4166.46,1931.5,235.9699999999998,200.0,150.0,315.0,350.0,150.0,0.0,0.0,0.0,400.0,200.0,200.0,0.0
4384.539062499996,2273.0,2052.5,5476.148125000001,4166.46,1931.5,270.9699999999998,200.0,150.0,315.0,350.0,150.0,0.0,0.0,0.0,328.4349500000003,200.0,128.4349500000003,0.0
5036.180687499997,2273.0,2052.5,6169.415000000001,4166.46,1931.5,305.9699999999998,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,299.7904900000001,200.0,99.79049000000009,0.0
5706.211937499997,2273.0,2052.5,6169.415000000001,4166.46,1931.5,340.9699999999998,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,291.2365399999999,200.0,91.23653999999988,0.0
5879.08,2273.0,2052.5,6169.415000000001,4166.46,1931.5,350.0,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,228.71649000000002,200.0,28.71649000000002,0.0
5879.08,2273.0,2052.5,6169.415000000001,4166.46,1931.5,350.0,200.0,150.0,350.0,350.0,150.0,0.0,0.0,0.0,239.86997341863753,200.0,39.86997341863753,0.0
