itr:1
500.0
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,450.37403113897875,398.4329837124476,500.0,400.3266004743974,439.8043021215649,372.8688347020418,500.0,400.3266004743974,439.8043021215649,398.4329837124476,356.3018184144894,
