Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
1000.0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,1000.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,170.0,170.0
1000.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0
1000.0,90.0,100.0,90.0,100.0,100.0,100.0,100.0
1000.0,981.1111111111111,971.1111111111111,970.0,50.0,50.0,50.0,50.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,1000.0,1000.0,1000.0,940.0,1000.0,250.0
350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
1000.0,1000.0,960.0,1000.0,1000.0,1000.0,371.1111111111111,371.1111111111111
1000.0,1000.0,320.0,280.0,257.65062852188987,249.26857142857148,288.8888888888889,288.8888888888889
1000.0,1000.0,1000.0,1000.0,434.48682752974037,427.5,424.0740740740741,434.0740740740741
1000.0,1000.0,570.0,220.0,204.48682752974037,179.3425396825396,194.07407407407408,204.07407407407402
1000.0,1000.0,1000.0,371.1111111111111,485.51317247025963,492.5,495.925925925926,485.925925925926
1000.0,1000.0,1000.0,450.0,450.0,450.0,450.0,450.0
1000.0,1000.0,1000.0,271.1111111111111,321.1111111111111,311.1111111111111,350.0,350.0
1000.0,190.0,250.0,250.0,200.0,210.0,250.0,250.0
1000.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,963.7547371489648,1000.0,100.0,100.0,100.0,100.0,100.0
150.0,143.75473714896492,150.0,150.0,150.0,150.0,150.0,150.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
1000.0,1000.0,1000.0,1000.0,250.0,250.0,250.0,100.00000000000006
