Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
491.56713075009446,500.0,500.0,424.8754010702103,424.8754010702103,424.8754010702103,424.8754010702103,424.8754010702103,324.8754010702103,424.8754010702103,424.8754010702103,374.8754010702103,424.8754010702103,424.8754010702103,424.8754010702104,424.8754010702103,424.8754010702104,424.8754010702103,424.8754010702103,424.8754010702103,424.8754010702103,424.8754010702103,424.8754010702103,424.8754010702103,424.8754010702103,424.8754010702103
476.1641217342005,500.0,500.0,500.0,469.86068642178657,469.86068642178657,500.0,500.0,419.860686421787,500.0,469.86068642178657,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,330.13931357821366,330.13931357821366,369.86068642178634,369.86068642178634,369.86068642178674,369.86068642178674,330.13931357821366
482.7854815805402,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114,418.27150309408114
483.96996855297266,500.0,500.0,500.0,500.0,431.1487283049803,431.1487283049803,418.8512716950197,418.85127169502084,431.1487283049803,418.8512716950197,418.8512716950197,418.8512716950197,418.8512716950197,418.8512716950197,418.8512716950197,418.85127169502084,318.8512716950197,418.8512716950197,418.8512716950197,418.85127169502084,431.1487283049803,431.14872830498035,431.1487283049803,431.1487283049803,418.8512716950206
481.59872829630945,500.0,500.0,500.0,500.0,500.0,407.03221039871505,407.03221039871505,407.03221039871505,407.03221039871505,407.03221039871505,407.03221039871505,407.03221039871505,407.03221039871505,407.03221039871505,407.03221039871505,407.03221039871505,407.03221039871505,407.03221039871505,407.0322103987137,407.0322103987139,407.03221039871505,407.03221039871573,407.03221039871573,407.03221039871505,407.03221039871505
483.9853467472253,500.0,500.0,500.0,431.32843931415175,431.32843931415175,431.32843931415175,418.67156068584836,418.67156068584836,431.32843931415175,418.6715606858496,418.67156068584836,418.6715606858496,418.67156068584836,418.67156068584836,418.6715606858496,418.67156068584836,431.32843931415175,418.67156068584836,418.6715606858496,418.6715606858496,431.32843931415175,431.32843931415204,431.32843931415226,431.32843931415175,418.6715606858494
483.8321744855072,500.0,479.5537095764921,500.0,500.0,500.0,500.0,429.5537095764914,429.5537095764914,420.4462904235086,429.5537095764914,429.5537095764919,429.5537095764914,429.5537095764914,429.5537095764914,429.5537095764914,429.5537095764914,420.4462904235086,429.5537095764914,429.5537095764914,429.5537095764903,420.4462904235086,420.4462904235087,420.44629042350874,420.4462904235086,429.5537095764914
479.75017661025095,500.0,492.14944023258397,492.14944023258397,492.14944023258397,500.0,500.0,500.0,500.0,392.14944023258374,260.69894352857676,307.8505597674162,307.8505597674162,307.85055976741734,307.8505597674162,307.8505597674162,307.8505597674162,392.14944023258374,392.14944023258374,392.14944023258374,307.85055976741734,392.1494402325842,357.8505597674162,357.85055976741734,357.8505597674162,392.14944023258374
481.8766043014905,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,409.5318931344807,409.5318931344807,409.5318931344807,409.5318931344807,409.5318931344807,367.18678540613257,409.5318931344807,409.5318931344807,409.5318931344807,359.5318931344807,409.5318931344807,409.5318931344807,409.5318931344807,409.5318931344807
473.81367025436214,500.0,458.56359211620395,458.56359211620395,500.0,500.0,500.0,500.0,500.0,500.0,485.71520835504316,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,358.5635921162037,358.5635921162037,358.5635921162039,358.56359211620435
