Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,350.0,350.0,350.0,350.0,350.0,350.0
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,380.0,405.0,399.9999999999997,439.66501712980767,404.99999999999983,412.50000000000017,405.0
1000.0,1000.0,1000.0,1000.0,1000.0,470.0,455.00000000000017,430.0,435.0,371.5563803239844,357.77777777777817,331.3464640673397,361.1111111111111
1000.0,1000.0,1000.0,1000.0,1000.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,413.88888888888886
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,399.9999999999998,391.11111111111086
350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,305.00000000000006,304.9999999999999,305.0,305.0000000000003,265.00000000000006
1000.0,1000.0,1000.0,1000.0,450.0,450.0,450.0000000000066,450.0,406.11111111111137,349.99999999999955,350.0000000000001,350.0000598276482,390.0
1000.0,1000.0,434.9525404801784,550.0,340.0,356.94444444444366,339.99999999999005,331.1111111111111,383.8888888888885,400.0,395.55555555555566,400.0,400.0
1000.0,650.0,355.0474595198216,228.51851851851856,450.0,421.11111111111114,449.9999999999998,450.0,447.2222222222224,490.0,477.7777777777776,450.0,450.0
1000.0,1000.0,1000.0,515.5555555555554,450.0,400.0,400.0,450.0,400.0,400.0,400.0,400.0,400.0
1000.0,1000.0,140.0,384.99999999999994,417.40740740740745,453.05555555555634,500.0,401.9444444444446,470.0,450.0,427.7777777777776,449.5424351230629,482.33720071744057
1000.0,828.0555555555555,700.0,500.0,500.0,480.0,451.11111111111103,499.99999999999994,470.0,446.1111111111111,457.2222222222224,455.22221192070856,407.66279928255943
1000.0,863.0555555555555,816.1111111111112,670.0000000000002,563.8888888888889,520.0,520.0,568.0555555555552,490.0000000000001,480.0,472.77777777777754,504.7777880792913,473.44831182855165
1000.0,1000.0,1000.0,1000.0,406.1111111111111,490.0,495.0,401.9444444444448,469.9999999999996,441.1111111111123,462.77777777777766,455.22221192070896,486.55168817144835
1000.0,750.0,750.0,517.7777777777779,450.0,400.0,400.0,450.0,450.0,400.0,400.0,405.2222119207087,377.2988745523677
1000.0,1000.0,1000.0,352.2222222222221,360.5648038049947,450.0000000000002,450.0,450.0,370.0,418.8888888888888,437.2222222222228,420.4444238414176,444.96167383492724
1000.0,1000.0,550.0,437.7777777777778,474.4351961950053,350.0,345.0000037500035,360.0,400.0,351.1111111111112,357.777777777778,349.55557615858254,346.14943727618396
1000.0,1000.0,1000.0,1000.0,1000.0,450.0,450.0,450.0,390.0000000000004,438.8888888888895,432.2222222222218,440.44442384141746,443.8505627238159
350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,305.0,316.1111111111112,319.4444444444441,305.0000257537837,305.0
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,408.70370370370375,408.7037037037035,408.7037037037033,405.07489884250316,432.77777777777794,436.58822864804876,431.66666666666674
1000.0,1000.0,500.0,370.0,341.63336906734224,438.0555555555553,303.70370370370364,303.70370370370455,303.70370370370597,300.07489884250407,327.77777777777754,331.5882064192634,326.6666666666666
1000.0,1000.0,1000.0,435.0000000000006,463.3666309326578,400.0000000000002,501.296296296296,501.2962962962966,501.2962962962947,504.92510115749604,477.2222222222222,473.4117799964791,478.33333333333326
