c[1],c[2],c[3],c[4],c[5],c[6],c[7],c[8],c[9],c[10],c[11],c[12],c[13],c[14],c[15],c[16],c[17],c[18],p[1],p[2],p[3],p[4],p[5],p[6],p[7],p[8],p[9],p[10],p[11],p[12],p[13],p[14],p[15],p[16],p[17],p[18],h[1],g_plus[1],g_minus[1],dr[1],μ[1],μ[2],μ[3]
1043.4897222222226,9.924325918627241e7,0.0,1115.612916666667,0.0,0.0,0.0,770.8888888888889,0.0,1115.612916666667,790.4183333333334,0.0,0.0,0.0,0.0,6691.849027777778,0.0,0.0,72.22222222222223,2.4691358024691255,0.0,72.22222222222223,0.0,0.0,0.0,72.22222222222223,0.0,72.22222222222223,72.22222222222223,0.0,0.0,0.0,0.0,377.77777777777777,0.0,0.0,0.0,0.0,30.864197530864196,0.0,0.0,0.0,0.0
1043.4897222222226,0.0,0.0,2163.4603472222225,3060.288443320042,0.0,1043.4897222222226,0.0,0.0,0.0,0.0,0.0,1043.4897222222226,0.0,0.0,0.0,790.4183333333334,0.0,72.22222222222223,0.0,0.0,135.0,264.2137606097028,2.138397057565649,72.22222222222223,0.0,0.0,0.0,2.191972994892703,0.0,72.22222222222223,0.0,2.0114248933944805,0.0,72.22222222222223,0.0,0.0,0.0,0.0,27.77777777777778,0.0,0.0,0.0
0.0,0.0,0.0,1115.612916666667,0.0,0.0,0.0,770.8888888888889,297.44444444444446,1115.612916666667,790.4183333333334,0.0,0.0,2576.8888888888887,0.0,1115.612916666667,0.0,0.0,0.0,0.0,2.0114248933944805,72.22222222222223,0.0,0.0,0.0,72.22222222222223,22.22222222222222,72.22222222222223,72.22222222222223,2.138397057565649,0.0,227.77777777777777,0.0,72.22222222222223,0.0,0.0,0.0,0.0,0.0,95.85017804903748,68.07240027125971,0.0,0.0
0.0,0.0,0.0,2163.4603472222225,1812.9377922879078,0.0,1043.4897222222226,303.8888888888889,355.83333333333337,0.0,324.2361111111111,333.0555555555556,1043.4897222222226,0.0,355.83333333333337,0.0,790.4183333333334,333.0555555555556,1.4510102658976312,0.0,0.0,135.0,160.77121195632697,0.0,72.22222222222223,27.77777777777778,27.77777777777778,0.0,27.77777777777778,27.77777777777778,72.22222222222223,0.0,27.77777777777778,0.0,72.22222222222223,27.77777777777778,0.0,0.0,0.0,27.77777777777778,0.0,0.0,0.0
1043.4897222222226,0.0,0.0,1115.612916666667,324.2361111111111,0.0,1043.4897222222226,303.8888888888889,355.83333333333337,0.0,790.4183333333334,0.0,0.0,770.8888888888889,0.0,1115.612916666667,0.0,0.0,72.22222222222223,2.326447050065141,0.0,72.22222222222223,27.77777777777778,2.138397057565649,72.22222222222223,27.77777777777778,27.77777777777778,0.0,72.22222222222223,0.0,1.4510102658976312,72.22222222222223,0.0,72.22222222222223,2.191972994892703,2.138397057565649,0.0,0.0,0.0,145.30933112956887,117.5315533517911,0.0,0.0
0.0,303.8888888888889,355.83333333333337,0.0,790.4183333333334,0.0,0.0,0.0,297.44444444444446,5144.021385712547,0.0,0.0,1043.4897222222226,770.8888888888889,297.44444444444446,0.0,790.4183333333334,0.0,0.0,27.77777777777778,27.77777777777778,1.402378012395619,72.22222222222223,0.0,0.0,2.326447050065141,22.22222222222222,299.6347574982021,2.191972994892703,0.0,72.22222222222223,72.22222222222223,22.22222222222222,0.0,72.22222222222223,0.0,0.0,0.0,0.0,27.77777777777778,0.0,0.0,0.0
1043.4897222222226,0.0,0.0,1115.612916666667,0.0,0.0,0.0,770.8888888888889,0.0,0.0,790.4183333333334,0.0,0.0,0.0,297.44444444444446,1115.612916666667,790.4183333333334,0.0,72.22222222222223,0.0,0.0,72.22222222222223,0.0,0.0,0.0,72.22222222222223,0.0,0.0,72.22222222222223,0.0,0.0,0.0,22.22222222222222,72.22222222222223,72.22222222222223,0.0,0.0,0.0,0.0,316.66666666666674,0.0,0.0,288.88888888888897
1043.4897222222226,0.0,297.44444444444446,0.0,324.2361111111111,0.0,1043.4897222222226,0.0,0.0,1115.612916666667,0.0,0.0,1043.4897222222226,770.8888888888889,0.0,1115.612916666667,0.0,0.0,72.22222222222223,2.326447050065141,22.22222222222222,0.0,27.77777777777778,0.0,72.22222222222223,0.0,0.0,72.22222222222223,0.0,0.0,72.22222222222223,72.22222222222223,0.0,72.22222222222223,0.0,0.0,0.0,0.0,0.0,322.60572764344533,0.0,294.82794986566756,0.0
503.9930555555556,0.0,355.83333333333337,1115.612916666667,324.2361111111111,271.8888888888889,0.0,303.8888888888889,355.83333333333337,1782.9274182385468,790.4183333333334,0.0,0.0,0.0,355.83333333333337,0.0,790.4183333333334,271.8888888888889,27.77777777777778,2.326447050065141,27.77777777777778,72.22222222222223,27.77777777777778,22.22222222222222,0.0,27.77777777777778,27.77777777777778,112.20182255903569,72.22222222222223,2.138397057565649,0.0,0.0,27.77777777777778,0.0,72.22222222222223,22.22222222222222,27.77777777777778,0.0,0.0,27.77777777777778,0.0,0.0,0.0
1043.4897222222226,0.0,297.44444444444446,0.0,324.2361111111111,0.0,1043.4897222222226,303.8888888888889,0.0,0.0,0.0,0.0,1043.4897222222226,0.0,0.0,1115.612916666667,324.2361111111111,271.8888888888889,72.22222222222223,0.0,22.22222222222222,0.0,27.77777777777778,0.0,72.22222222222223,27.77777777777778,0.0,0.0,2.191972994892703,2.138397057565649,72.22222222222223,0.0,0.0,72.22222222222223,27.77777777777778,22.22222222222222,0.0,0.0,0.0,51.2251855030972,23.447407725319422,0.0,0.0
