itr:1
490.5458487699589
485.007243676434,477.5469293533686,482.6882480637441,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,405.6604617909718,500.0,377.6120144640479,500.0,405.6604617909718,405.90337098425834,377.6120144640479,500.0,405.6604617909718,444.09662901574166,377.6120144640479,417.2926864390138,
