Column1,Column2,Column3,Column4,Column5,Column6
220.11900000000065,172.1490000000009,220.11900000000065,220.11900000000009,178.97199999999992,95.61800000000017
1000.0,1000.0,1000.0,1000.0,397.6040000000016,423.15400000000153
1000.0,820.6320193968739,854.4361383399289,808.755000000002,766.7330000000047,699.9999274966526
1000.0,1000.0,1000.0,1000.0,1000.0,799.515623057274
1000.0,1000.0,1000.0,964.2020937500004,975.445669104607,923.2210937500013
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
885.1953817344992,1000.0,1000.0,1000.0,1000.0,1000.0
910.7223703703714,968.3423703703702,989.3070000000748,959.4890000000025,998.5681469544678,1000.0
1000.0,950.5153703703695,995.1000000000726,970.2710000000029,962.2072926866841,1000.0
1000.0,981.0033703703695,984.95500000008,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,964.7944571587138,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
