Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
1000.0,1000.0,931.1111111111111,992.5986111111112,50.00000000000001,50.0,50.0,50.00000000000001,50.0,50.0,50.00000000000001
1000.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0
1000.0,113.05555555555554,149.99999999999983,149.99999999999983,149.99999999999983,149.99999999999983,149.99999999999983,149.99999999999983,149.99999999999983,149.99999999999983,149.99999999999983
1000.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
150.0,150.0,150.0,150.0,150.0,150.0,116.11111111111109,140.55555555555554,145.74074074074073,150.0,150.0
250.0,250.0,250.0,250.0,250.0,250.0,250.0,225.55555555555554,220.37037037037032,215.0,250.0
350.0,350.0,350.0,308.5125,350.0,331.1111111111111,328.8888888888889,229.44444444444446,234.62962962962968,240.0,200.0
1000.0,1000.0,1000.0,220.0,240.0,225.0,225.0,300.0,289.62962962962956,280.0000000000001,285.55555555555554
1000.0,271.25,271.25,350.0,335.0,350.0,350.0,300.0,300.0,300.0,289.44444444444446
