Column1,Column2,Column3,Column4
900.0,900.0,900.0,900.0
900.0,711.4961575579075,711.4961575579075,711.4961575579075
900.0,900.0,900.0,900.0
900.0,900.0,900.0,900.0
900.0,900.0,900.0,900.0
900.0,900.0,900.0,900.0
806.9336730555576,840.3228752777795,840.3228752777795,840.3228752777795
900.0,900.0,900.0,900.0
900.0,900.0,900.0,900.0
900.0,900.0,900.0,900.0
900.0,900.0,900.0,900.0
601.0470983333345,590.0150025000008,590.0150025000008,590.0150025000008
900.0,900.0,900.0,900.0
900.0,900.0,784.4779638949939,784.4779638949938
900.0,900.0,900.0,900.0
900.0,697.3184096643197,697.3184096643197,697.3184096643197
900.0,900.0,900.0,900.0
900.0,900.0,900.0,900.0
900.0,900.0,900.0,900.0
900.0,900.0,900.0,900.0
900.0,900.0,900.0,900.0
900.0,900.0,900.0,827.0996304861133
900.0,900.0,900.0,900.0
900.0,900.0,900.0,862.2780899999998
