Column1,Column2,Column3
1000.0,1000.0,1000.0
500.0,500.0,500.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
500.0,500.0,500.0
450.0,450.0,450.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,481.9356977129602,340.0
1000.0,1000.0,330.0
1000.0,1000.0,545.0
1000.0,749.9999999999998,211.25
1000.0,1000.0,290.0
1000.0,649.6316758747688,429.8
1000.0,610.2431523993423,642.4305555555557
1000.0,600.2431523993424,632.4305555555557
1000.0,999.7568476006577,967.5694444444443
1000.0,1000.0,1000.0
450.0,450.0,450.0
500.0,500.0,500.0
1000.0,1000.0,1000.0
1000.0,1000.0,981.1111111111111
1000.0,461.1111111111111,480.0
