Column1,Column2,Column3,Column4,Column5,Column6
1000.0,1000.0,1000.0,1000.0,50.0,50.0
1000.0,1000.0,1000.0,1000.0,1000.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0
1000.0,902.7965505103942,1000.0,751.7955298898526,785.0,721.7955298898523
1000.0,1000.0,1000.0,98.20447011014744,65.0,128.20447011014767
1000.0,19.981871345042805,60.0,21.79552988985257,35.0,97.09335899903658
1000.0,822.9066410009635,815.0,822.9066410009635,823.0716374269007,822.9066410009634
0.0,150.0,150.0,150.0,150.0,150.0
1000.0,755.4260482547105,670.0,670.0,720.0,681.1111111111111
315.3703703703704,350.0,350.0,350.0,350.0,350.0
1000.0,995.0,970.0,1000.0,859.6296296296297,960.0
1000.0,1000.0,1000.0,86.11111111111109,140.74074074074073,81.11111111111109
1000.0,1000.0,550.0,330.0,310.3703703703703,335.0
1000.0,1000.0,463.0394736842104,440.0,480.0,430.0
1000.0,991.7543859649121,329.1505847953215,388.36946653608464,399.9999999999999,375.0
1000.0,1000.0,450.0,450.0,450.0,300.0
1000.0,350.0,81.9605263157896,94.99999999999997,105.0,225.0
1000.0,250.0,136.9605263157896,150.00000000000006,160.0,250.0
1000.0,150.0,150.0,150.0,150.0,150.0
1000.0,50.0,50.0,50.0,50.0,50.0
1000.0,940.0,985.0,984.9999999999998,940.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0
191.84210526315724,200.0,200.0,200.0,200.0,200.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
