Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,1000.0,1000.0,45.00000000000003,46.86378035906864,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,955.0,1000.0,1000.0,995.0,993.1362196409314,170.0,170.0,170.0
1000.0,1000.0,1000.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,1000.0,1000.0,10.0,45.0,40.00000000000006,97.09335899903658,100.0,100.0
1000.0,940.0,1000.0,1000.0,910.0,830.0,880.0,822.9066410009634,49.999999999999986,49.999999999999986
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,740.0,875.0,920.0,875.0,920.0,920.0,920.0000000000001,740.0,250.0
350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,200.0
1000.0,1000.0,960.0,915.0,915.0,1000.0,930.0,910.0000000000001,285.5850960605477,300.00000000000017
1000.0,1000.0,230.0,275.0,275.0,190.0,260.0,279.9999999999999,254.41490393945233,274.9999999999999
1000.0,550.0,95.0,265.0,265.0,275.0,240.0,260.0000000000001,295.0,242.5000000000001
1000.0,1000.0,440.0,325.0,325.0,260.0,350.0,329.9999999999999,310.0,362.5000000000001
1000.0,1000.0,550.0,175.0,170.0,139.99999999999963,270.0,177.49394086282103,300.0,200.0000000000001
1000.0,1000.0,1000.0,415.0,406.93165293262234,315.00000000000034,300.0,412.50605913717897,270.0,300.0000000000001
1000.0,1000.0,1000.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
1000.0,1000.0,1000.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
1000.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,50.0,50.0,30.0,50.0,50.0,50.0,50.0,50.0
1000.0,1000.0,905.0,1000.0,1000.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
1000.0,1000.0,1000.0,1000.0,1000.0,965.0,1000.0,250.0,250.0,250.0
