c[1],c[2],c[3],c[4],c[5],c[6],p[1],p[2],p[3],p[4],p[5],p[6],h[1],g_plus[1],g_minus[1],dr[1],μ[1],μ[2],μ[3]
9.954021005082266e7,2034.1999999999998,1434.25,5476.148125000001,4023.365692841616,1889.4944585363978,350.0,180.0,105.0,315.0,338.70828114749384,146.76631705438012,0.0,100.0,100.0,300.0,100.0,100.0,100.0
5879.08,1798.7,1639.0,4790.671875000001,4166.46,1694.644458536398,350.0,160.0,120.0,280.0,350.0,131.76631705438012,0.0,0.0,0.0,300.0,100.0,100.0,100.0
5209.04875,2034.1999999999998,1845.3500000000001,5476.148125000001,3722.9224999999997,1736.65,315.0,180.0,135.0,315.0,315.0,135.0,0.0,0.0,0.0,255.45672209965642,85.15224069988547,85.15224069988547,85.15224069988547
5879.08,2273.0,2052.5,6169.415000000001,4166.46,1931.5,350.0,200.0,150.0,350.0,350.0,150.0,0.0,100.0,0.0,300.0,100.0,100.0,100.0
5209.04875,2034.1999999999998,1845.3500000000001,5476.148125000001,3722.9224999999997,1736.65,315.0,180.0,135.0,315.0,315.0,135.0,90.0,0.0,0.0,261.23630349199584,87.07876783066529,87.07876783066529,87.07876783066529
4547.36125,2273.0,1845.3500000000001,4790.671875000001,4052.2084291112924,1736.65,280.0,200.0,135.0,280.0,340.98429111156383,135.0,90.0,0.0,0.0,300.0,100.0,100.0,100.0
4786.062945649586,2273.0,2052.5,4931.438437499994,4166.46,1931.5,292.904757200109,200.0,150.0,287.49999999999966,350.0,150.0,90.0,0.0,0.0,300.0,100.0,100.0,100.0
4148.956403264465,2034.1999999999998,1845.3500000000001,4585.799811270114,3722.9224999999997,1736.65,257.904757200109,180.0,135.0,269.0844782263249,315.0,135.0,90.0,0.0,0.0,300.0,100.0,100.0,100.0
4326.903151498199,2273.0,2052.5,5259.937563027709,4166.46,1931.5,267.77355432918955,200.0,150.0,304.0844782263249,350.0,150.0,90.0,0.0,0.0,300.0,100.0,100.0,100.0
3695.809401498199,2034.1999999999998,1845.3500000000001,5476.148125000001,3722.9224999999997,1736.65,232.77355432918955,180.0,135.0,315.0,315.0,135.0,90.0,0.0,0.0,263.0641238755703,87.68804129185678,87.68804129185678,87.68804129185678
3714.6998323536445,2273.0,2052.5,6169.415000000001,4166.46,1931.5,233.8212038740323,200.0,150.0,350.0,350.0,150.0,90.0,11.11111111111111,0.0,300.0,100.0,100.0,100.0
3112.729993043784,2034.1999999999998,1845.3500000000001,5572.410287653732,3722.9224999999997,1931.5,198.8212038740323,180.0,135.0,319.85985385192475,315.0,150.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
3555.6424999999967,2034.1999999999998,2052.5,6109.791006916956,4166.46,1931.5,224.99999999999983,180.0,150.0,346.9898464312079,350.0,150.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
4186.736249999997,2273.0,1872.4902314392996,6163.537105442637,4166.46,1736.65,259.99999999999983,200.0,136.9652593366618,349.70325091688863,350.0,135.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
3555.6424999999967,2273.0,1845.3500000000001,5470.270230442637,4166.46,1931.5,224.99999999999983,200.0,135.0,314.70325091688863,350.0,150.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
4186.736249999997,2273.0,2052.5,4969.374345964087,4166.46,1931.5,259.99999999999983,200.0,150.0,289.4152174207704,350.0,150.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
4186.736249999997,2273.0,1845.3500000000001,4310.474288868262,3994.418658263521,1736.65,259.99999999999983,200.0,135.0,254.41521742077038,336.42404089670714,135.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
3555.6424999999967,2124.8075400742787,2052.5,3758.3837500000022,4166.46,1542.3999999999999,224.99999999999983,187.58857119550072,150.0,225.0000000000001,350.0,120.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
4132.4343282147365,2034.1999999999998,1845.3500000000001,3921.8697257817967,4166.46,1349.35,256.98845494431816,180.0,135.0,233.71048348831755,350.0,105.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
4294.947666439472,2273.0,1845.3500000000001,4578.780350781796,4110.543808913894,1221.25,266.0013263883243,200.0,135.0,268.71048348831755,345.58759588983185,95.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
4941.061642046483,2273.0,2052.5,5252.5296155052865,4166.46,1030.0,301.0013263883243,200.0,150.0,303.71048348831755,350.0,80.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
5611.092892046483,2273.0,2052.5,4784.442211134612,4166.46,839.95,336.0013263883243,200.0,150.0,279.6680853878888,350.0,65.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
5561.796589819828,2034.1999999999998,2052.5,4127.531586134613,4166.46,650.5,333.4262665266642,180.0,150.0,244.66808538788882,350.0,50.0,100.0,0.0,0.0,300.0,100.0,100.0,100.0
5879.08,2273.0,2052.5,3486.546987437943,4166.46,650.5,350.0,200.0,150.0,209.66808538788882,350.0,50.0,100.0,100.0,0.0,300.0,100.0,100.0,100.0
