Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
1000.0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,1000.0,1000.0,148.61111111110955,145.0,148.6111111111103,171.11111111111202,195.00000000000003,240.0,240.0,240.0,255.0,255.0,240.00000000000003
1000.0,1000.0,1000.0,1000.0,254.99999999999991,356.38888888889045,359.99999999999983,356.38888888888954,333.8888888888883,310.00000000000006,209.99999999999986,209.99999999999994,209.99999999999986,228.552146264747,245.31777462531687,210.00000000000003
1000.0,1000.0,1000.0,1000.0,359.9999999999998,402.4999999999999,402.4999999999999,402.50000000000006,379.99999999999983,287.61540141640523,314.44444444444446,260.00000000000017,260.0000000000002,279.42593081186055,289.68222537468324,260.00000000000017
1000.0,1000.0,1000.0,1000.0,340.00000000000006,360.6635171182518,368.82653061224727,278.61111111111114,209.99999999999991,158.49570969470582,155.55555555555554,209.99999999999977,214.99999999999977,155.57406918813942,161.111111111111,211.94337234102463
1000.0,1000.0,1000.0,191.1764705882386,165.00000000000017,137.5000000000001,136.17346938775273,137.49999999999994,242.70980260713458,252.3845985835947,295.55555555555543,241.11111111111128,264.33509282039336,260.57406918813933,250.3177746253167,268.12691751405
1000.0,1000.0,8.703703703703505,121.73202614379431,38.70370370370356,49.999999999998664,39.863411910698744,227.49999999999932,178.73369433813264,152.61540141640523,144.45301519748858,167.1445137769357,176.6369565217392,151.29366543242327,161.65523899594154,136.87308248595008
1000.0,1000.0,858.703703703703,808.8235294117615,888.7037037037043,871.8364828817482,889.8634119106993,227.50000000000068,270.9339198277114,282.5673390155443,264.44444444444446,282.5673390155444,246.0021052472394,282.94971105812556,274.99999999999966,251.14732814206798
393.75,387.50000000000097,330.00000000000114,325.0000000000005,355.00000000000074,355.0000000000011,400.0000000000007,235.00000000000068,277.4999999999999,269.9999999999999,269.9999999999999,269.9999999999999,272.4999999999998,272.4999999999998,215.0000000000002,238.8526718579319
1000.0,1000.0,1000.0,983.8235294117612,1000.0,994.2746282293645,816.3265306122476,733.6111111111115,351.7119374567768,335.0,334.99999999999983,334.99999999999983,281.80555555555554,270.2052605575752,269.99999999999983,290.71308901163303
