Column1,Column2,Column3,Column4,Column5,Column6,Column7
1000.0,1000.0,1000.0,1000.0,988.5256953979112,449.9999999999999,383.05555555555543
500.0,500.0,500.0,500.0,243.5256953979112,150.0,290.0
1000.0,1000.0,1000.0,1000.0,357.16006433312685,400.0,330.0
1000.0,1000.0,1000.0,980.0000000000002,281.6473429951765,400.00000000000017,420.0000000000001
1000.0,1000.0,950.0,1000.0,890.0,866.27108057465,301.73581510623546
500.0,500.0,500.0,500.0,500.0,500.0,350.0000000000001
450.0,450.0,450.0,450.0,397.8322113571912,391.51426589203334,300.0
1000.0,1000.0,1000.0,1000.0,157.16778864280872,160.00000000000006,393.2112446672708
1000.0,950.0,1000.0,300.0,297.8322113571912,313.7289194253501,208.8888888888888
1000.0,370.0,104.37499999999994,246.11111111111097,307.16778864280866,291.2710805746498,326.11111111111103
1000.0,1000.0,430.625,350.0,350.0,350.0,350.0
1000.0,1000.0,507.50000000000006,520.0,527.8322113571917,550.0,400.0
1000.0,750.0,169.37499999999994,275.55555555555554,235.0000000000001,231.1111111111111,400.0
1000.0,1000.0,437.5,330.0,470.0,440.0,375.0
1000.0,599.2449355432769,230.0,430.55555555555554,250.0,335.0,400.0
1000.0,566.3585746102465,630.5555555555555,500.0,549.9999999999998,500.0,500.0
1000.0,551.3585746102465,620.5555555555555,371.61371111111055,400.0,384.2944444444445,400.0
1000.0,934.7525365008646,979.4444444444445,141.81371111111127,164.8685396294736,199.99999999999994,186.86764644432546
1000.0,888.6414253897535,1000.0,960.2000000000007,256.09894527489826,171.11111111111111,369.52834954283645
450.0,415.0,450.0,450.0,278.37719298245605,377.4323228019237,300.0000000000001
500.0,500.0,500.0,500.0,500.0,500.0,300.0
1000.0,1000.0,1000.0,819.8000000000008,836.505492222691,841.4111111111113,377.5
1000.0,1000.0,981.1111111111111,45.20000000000015,189.8685396294736,220.40555555555557,127.49999999999997
1000.0,435.0,435.0,459.7999999999999,315.13146037052644,219.59444444444438,422.5
