Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36
1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,715.0,715.0,720.0,700.0,709.9999999999998,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0
1000.0,1000.0,135.0,135.0,130.0,150.0,140.00000000000023,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,0.0,97.09335899903635,75.0,65.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1000.0,920.0,822.9066410009635,822.9066410009635,822.9066410009635,50.0,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,49.999999999999986,50.0,50.0,50.0,50.0,50.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,147.61130864312636,150.0,150.0,140.97222222222229,117.40740740740719,144.44444444444395,150.0
1000.0,831.1111111111111,820.0,820.0,820.0,740.0,740.0,247.49999999999983,250.00000000000006,250.0,250.0,250.0,250.0,250.0,250.0,250.0,218.81187368969637,190.00000000000003,250.0,248.88888888888894,250.0,237.50000000000017,192.22222222222214,239.80421636831525,224.55575308757113,249.99999999999994,249.99999999999994,249.99999999999994,215.96530712187786,212.6113086431263,245.55555555555534,245.9722222222234,214.02777777777774,250.0,212.8041347337811,238.673484619414
350.0,350.0,350.0,350.0,350.0,350.0,350.0,207.4999999999998,200.0,200.00000000000014,200.0,200.0,199.9999999999987,200.0,186.6321571628582,200.0,236.18812631030374,257.1772875816994,200.0,200.0,200.0,179.9999999999995,213.88888888888874,200.0000000000001,200.0,200.0,200.0,200.0000000000001,199.99999999999994,200.0,199.29413428235236,200.0000000000001,189.93349713565067,193.11901364877653,186.05839719910682,195.04532862643524
