Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
1000.0,996.1111111111104,965.0000000000005,955.0000000000008,950.0000000000003,950.0000000000003,994.9999999999998,985.0000000000003,1000.0,321.11111111111103,321.1111111111112
251.29629629629687,300.0000000000002,325.0000000000003,270.00000000000074,310.0000000000001,310.0000000000003,340.00000000000006,300.00000000000045,350.00000000000034,230.0000000000001,230.00000000000006
1000.0,1000.0,1000.0,1000.0,1000.0,949.9170812603644,923.0555555555561,1000.0,252.7777777777778,358.888888888889,358.88888888888874
1000.0,973.5723847318689,888.9286599813729,1000.0,130.0,159.91708126036468,133.05555555555574,209.89996009045782,195.5555555555551,202.20921258960675,213.78161997665237
1000.0,1000.0,1000.0,1000.0,895.0,865.0829187396354,899.9999999999998,191.17780438413703,238.79259182878732,227.88888888888872,240.18676004669626
241.4035087719295,285.0000000000001,330.0000000000003,305.0000000000001,310.0000000000001,310.0,300.00000000000034,338.75550234283725,366.20740817121316,372.5425459229401,364.8132399533042
290.0000000000015,216.76915149433225,265.00000000000006,270.00000000000006,260.0000000000003,275.0,270.0000000000002,289.99999999999994,290.0000000000005,290.0000000000001,345.00000000000006
1000.0,851.769151494332,965.4471544715453,983.0836078305385,934.4262295082015,800.0000000000005,865.0,853.8221956158629,852.318519282323,837.7907874103932,308.1489355789036
1000.0,1000.0,1000.0,906.513751640286,1000.0,246.47794486215844,209.99999999999994,210.00000000000034,222.57433427868114,224.26359580346386,219.7742356809136
1000.0,864.2597142958564,1000.0,191.51375164028605,215.00000000000017,204.99999999999994,280.00000000000006,279.9999999999996,192.68148071767814,265.73640419653606,297.4092335070191
1000.0,1000.0,415.66395663956604,228.48624835971395,210.00000000000017,320.0,275.0000000000001,275.0000000000006,377.3185192823218,289.263595803464,260.000000000001
1000.0,1000.0,245.0,255.0,230.0,260.0000000000002,259.999999999999,260.00000000000045,245.55555555555497,234.26359580346372,268.8888888888909
1000.0,585.0000000000009,340.0,330.0,375.0,340.0000000000002,340.00000000000057,340.0,320.0,390.00000000000045,336.1111111111093
1000.0,723.5964912280824,475.6639566395661,498.02750328057255,560.0,615.0,521.1111111111127,521.1111111111106,539.444444444445,482.5839195041832,598.888888888891
1000.0,620.0,320.0,340.0000000000002,340.00000000000074,379.1666666666665,340.00000000000114,340.0,345.00000000000034,340.0000000000016,360.000000000001
1000.0,1000.0,150.00000000000045,190.0,175.0,191.94444444444431,194.9999999999991,195.00000000000006,195.55555555555563,199.99999999999852,206.1111111111103
1000.0,940.3216860787579,1000.0,275.000000000001,246.6848816029094,298.05555555555554,273.4551702221507,326.1778043841394,170.55555555555546,325.00000000000017,215.5555555555552
1000.0,1000.0,1000.0,1000.0,108.31511839709071,56.9444444444446,151.54482977784943,185.03334663651412,310.00000000000057,187.70658024776822,211.11111111110904
1000.0,1000.0,940.0,1000.0,948.3697632058193,993.0555555555554,338.4551702221504,304.9666533634858,250.55555555555554,316.1406365474727,300.0000000000011
56.403508771917814,206.4035087719182,270.0,224.99999999999986,250.0000000000001,250.0,316.5448297778496,345.0,344.9999999999999,336.12325776839754,345.0
110.42884990253265,276.40350877191827,280.0,310.0,265.000000000001,300.0,338.9301372167443,332.8770656758754,332.8770656758756,332.87706567587594,332.8770656758756
1000.0,996.4035087719183,1000.0,1000.0,1000.0,1000.0,233.34242988765038,227.2813832854626,227.28138328546254,227.28138328546203,227.2813832854624
1000.0,1000.0,1000.0,1000.0,1000.0,306.94444444444457,283.12470621442617,297.22550214382477,286.07235807682457,297.12293432412446,293.8888888888919
1000.0,1000.0,1000.0,1000.0,1000.0,505.0,446.65757011234973,452.7186167145376,452.71861671453746,452.7186167145378,452.7186167145376
