Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,950.0,950.0,950.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,899.9999999999999,899.9999999999998,899.9999999999999,899.9999999999999,899.9999999999999,0.0,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994
1000.0,1000.0,1000.0,1000.0,1000.0,880.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0
1000.0,1000.0,1000.0,1000.0,700.0,899.9999999999999,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994
1000.0,1000.0,949.9999999999999,950.0,775.0000000000002,950.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
1000.0,911.1111111111114,975.0,974.9999999999998,449.9999999999998,975.0000000000002,250.00000000000006,250.00000000000006,143.43434343433822,183.43434343433913,33.43434343433933,0.0,33.43434343434047,250.00000000000006
1000.0,1000.0,900.0,899.9999999999999,625.0000000000002,899.9999999999998,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994
1000.0,1000.0,811.1111111111111,800.0,950.0,800.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0
1000.0,1000.0,625.0000000000001,700.0,811.1111111111111,700.0,461.1111111111111,550.0,550.0,550.0,550.0,550.0,550.0,550.0
966.0887949260042,1000.0,800.0,674.9999999999999,475.0,700.0,550.0,550.0,550.0,461.1111111111111,550.0,461.1111111111111,350.0,550.0
974.9084792717917,1000.0,1000.0,650.0,750.0,625.0,600.0,500.0,600.0,635.7969723953696,500.0,635.7969723953696,700.0,600.0
1000.0,1000.0,1000.0,736.8421052631579,736.8421052631579,736.8421052631579,684.2105263157895,550.0,550.0,514.2030276046303,550.0,414.2030276046303,450.0,450.0
1000.0,1000.0,1000.0,731.1827956989247,731.1827956989247,731.1827956989247,721.0733865538136,721.0733865538136,570.0,705.7969723953697,630.0,639.7501329080247,641.1111111111111,630.0
1000.0,1000.0,1000.0,736.8421052631579,674.9999999999998,723.0862101490286,650.0,350.0,550.0,374.2030276046303,450.0,473.68421052631584,450.0,450.0
966.0887949260042,1000.0,800.0,536.1111111111111,700.0,563.0249009620825,550.0,650.0,461.1111111111111,550.0,461.1111111111111,550.0,550.0,461.1111111111111
1000.0,1000.0,710.0,750.0,700.0,750.0,550.0,361.1111111111111,550.0,550.0,550.0,550.0,550.0,550.0
1000.0,1000.0,810.0,850.0,800.0,850.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0
1000.0,999.9999999999999,841.111111111111,725.0,886.1111111111111,698.0862101490286,350.0000000000001,350.0000000000001,350.0000000000001,350.0000000000001,350.0000000000001,350.0000000000001,350.0000000000001,350.0000000000001
1000.0,850.0000000000005,423.913043478261,435.0241545893721,1000.0,470.1871980676292,250.0,42.360956880526146,0.0,0.0,250.0,250.0,250.0,33.43434343433978
1000.0,1000.0,1000.0,1000.0,950.0000000000001,850.0000000000042,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006
1000.0,1000.0,1000.0,1000.0,900.0000000000001,899.9999999999999,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994
1000.0,975.0,1000.0,1000.0,850.0,675.0000000000002,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
1000.0,850.0,675.0,675.0000000000001,900.0000000000001,850.0,58.15043056472223,450.0,450.0,450.0,450.0,450.0,450.0,450.0
