c[1],c[2],c[3],c[4],c[5],c[6],p[1],p[2],p[3],p[4],p[5],p[6],h[1],g_plus[1],g_minus[1],dr[1],μ[1],μ[2],μ[3]
4547.3612500000045,2870.0,2259.65,1607.04,4831.76625,650.5,280.0000000000002,250.0,165.0,100.0,402.5,50.0,0.0,0.0,0.0,174.99999999999977,100.0,74.99999999999977,0.0
5209.0487500000045,2870.0,2052.5,2191.2381250000003,5275.30375,5.039933628529601e6,315.0000000000002,250.0,150.0,135.0,437.5,0.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
4547.3612500000045,2870.0,0.0,1607.04,4831.76625,1931.5,280.0000000000002,250.0,0.0,100.0,402.5,150.0,0.0,0.0,0.0,204.99999999999977,100.0,100.0,4.999999999999773
4911.319799635742,2870.0,1028.75,2191.2381250000003,4648.677511755977,0.0,299.4477205163953,250.0,75.0,135.0,388.0522794836045,0.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
4266.934210561252,2870.0,0.0,1607.04,5092.215011755978,1931.5,264.4477205163953,250.0,0.0,100.0,423.0522794836045,150.0,0.0,0.0,0.0,200.0,100.0,0.0,100.0
3635.8404605612523,2870.0,2052.5,1950.0858039656525,5275.30375,0.0,229.4477205163953,250.0,150.0,120.5522794836047,437.5,0.0,0.0,0.0,0.0,300.0,100.0,100.0,100.0
3038.736121486763,2870.0,2259.65,1607.04,5275.30375,1931.5,194.4477205163953,250.0,165.0,100.0,437.5,150.0,0.0,0.0,0.0,143.05227948360425,43.05227948360425,0.0,100.0
3635.8404605612523,2870.0,2052.5,2191.2381250000003,4831.76625,1736.65,229.4477205163953,250.0,150.0,135.0,402.5,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3582.735270424689,2870.0,2259.65,2783.2268750000003,5275.30375,0.0,226.50254532684585,250.0,165.0,170.0,437.5,0.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
2988.907438748573,2631.2,2052.5,0.0,4831.76625,1587.4450000000043,191.50254532684585,230.0,150.0,0.0,402.5,123.50000000000034,0.0,0.0,0.0,177.49745467315336,100.0,77.49745467315336,0.0
2403.4233570724573,2392.4,0.0,1607.04,4388.22875,1394.3950000000043,156.50254532684585,210.0,0.0,100.0,367.5,108.50000000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.033125,2511.7999999999997,0.0,1607.04,4831.76625,0.0,132.5,220.0,0.0,100.0,402.5,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1510.33,2273.0,1585.9166666666617,0.0,5275.30375,1431.5750000000046,100.0,200.0,116.11111111111074,0.0,437.5,111.38888888888926,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1510.33,0.0,0.0,1607.04,4831.76625,1624.7916666666715,100.0,0.0,0.0,100.0,402.5,126.38888888888926,0.0,0.0,0.0,156.11111111111074,100.0,56.111111111110745,0.0
1510.33,1337.6,2052.5,0.0,4831.76625,1819.6416666666714,100.0,120.0,150.0,0.0,402.5,141.38888888888926,0.0,0.0,0.0,100.0,100.0,0.0,0.0
2063.54875,1112.0,0.0,5228.552812499996,5275.30375,0.0,135.0,100.0,0.0,302.4999999999998,437.5,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1510.33,0.0,695.5,5921.819687499996,5275.30375,650.5,100.0,0.0,50.0,337.4999999999998,437.5,50.0,0.0,0.0,0.0,172.5,72.5,100.0,0.0
1510.33,2273.0,695.5,6615.086562499996,5275.30375,0.0,100.0,200.0,50.0,372.4999999999998,437.5,0.0,0.0,0.0,0.0,222.50000000000023,22.500000000000227,100.0,100.0
2063.54875,2511.7999999999997,695.5,6999.005614426321,5275.30375,650.5,135.0,220.0,50.0,391.88238693060475,437.5,50.0,0.0,0.0,0.0,148.50288708122753,100.0,48.50288708122753,0.0
2625.11125,2750.6,895.45,6305.7387394263205,5275.30375,650.5,170.0,240.0,65.0,356.88238693060475,437.5,50.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
2840.526511430139,2870.0,695.5,5612.47186442632,4831.76625,650.5,182.73233905756274,250.0,50.0,321.88238693060475,402.5,50.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
3022.3230931979238,2631.2,695.5,4919.846535002155,4831.76625,650.5,193.47761171469074,230.0,50.0,286.88238693060475,402.5,50.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
3618.348186230517,2392.4,0.0,5612.47186442632,5275.30375,650.5,228.47761171469074,210.0,0.0,321.88238693060475,437.5,50.0,0.0,0.0,0.0,149.28000270940902,100.0,49.28000270940902,0.0
3022.3230931979238,2153.6,695.5,5506.3030212598,5275.30375,0.0,193.47761171469074,190.0,50.0,316.52238828530926,437.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
