Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
1000.0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,901.1111111111109,996.1111111111111,985.3675945753033,961.8055555555555,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0
1000.0,145.0,95.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,50.0,50.0,50.0,74.65277777777777,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1000.0,1000.0,930.0,930.0,930.0,905.3472222222222,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,880.0,1000.0,1000.0,1000.0,169.30555555555554,244.72031309660173,217.76366052150803,250.00000000000006,250.0,250.00000000000006,250.00000000000006,250.0,250.0,250.0,250.0,250.0,236.80555555555554,233.7499999999999
350.0,350.0,350.0,350.0,350.0,350.0,350.0,287.7796869033983,314.73633947849197,200.0,200.0,200.0,282.4999999999998,200.0,200.0,200.0,271.25000000000006,262.01388888888886,287.390180878553,286.1111111111116
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,364.16571210385644,393.78840724132203,450.0,450.0,450.0,288.6111111111113,300.0,300.0,300.0,261.2499999999999,250.0,272.609819121447,279.99999999999983
1000.0,443.6111111111111,448.6833333333335,399.35833333333335,368.8888888888889,249.0017361111112,322.5,210.0,251.2979571499751,189.9861111111111,232.17704965087438,159.9861111111111,348.8888888888887,258.82865879375856,285.55555555555566,250.55555555555566,321.2500000000002,330.4861111111111,300.0,300.0
1000.0,1000.0,1000.0,128.37638888888887,161.1111111111111,310.0,260.0,400.0,340.0,347.5,305.3229503491257,376.9513888888889,200.0,323.6111111111111,350.0,350.0,288.7499999999999,279.5138888888889,245.0,250.0
1000.0,1000.0,1000.0,340.0,420.0,416.80555555555554,420.0,420.0,370.0,320.0,362.1770496508743,333.0486111111111,370.0,270.0,270.0,270.0,289.8611111111111,299.0972222222222,311.1111111111112,311.2499999999995
1000.0,1000.0,200.0,30.0,148.42731382345937,161.80555555555554,112.5,112.5,178.6111111111111,222.5,300.0,287.5,251.1111111111111,328.67134120624155,342.5000000000002,307.5,299.9999999999999,300.0,280.0,322.5
1000.0,450.0,300.0,450.0,411.75648346419234,388.19444444444446,393.6111111111111,393.6111111111111,388.8888888888889,407.5,260.0,300.0,300.0,300.0000000000001,243.05555555555543,243.05555555555557,260.0000000000001,260.0,299.9999999999999,246.25000000000028
1000.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,345.2777777777778,200.0000000000001,200.0,292.5,200.0000000000001,312.5,310.00000000000017,279.02777777777777,200.0,200.0,200.0,200.0
1000.0,1000.0,1000.0,1000.0,153.24351653580777,176.80555555555554,182.5,182.5,187.22222222222217,250.0,250.0,240.0,250.0,220.0,178.05555555555537,244.02777777777783,250.0,250.0,250.0,250.0
1000.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1000.0,1000.0,1000.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
1000.0,1000.0,1000.0,1000.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
