Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
1000.0,1000.0,1000.0,1000.0,1000.0,928.7073634899718,450.0000000000001,450.0000000000001,450.0000000000001,450.0000000000001,410.0000000000001,385.0000000000001,376.94444444444446,330.0000000000001,330.00000000000006,329.999999996543,330.0000000000001,330.00000000000006,335.3703703703704
500.0,500.0,500.0,500.0,327.17320906432747,150.0,150.0,150.0,150.0,149.99999999999991,150.0,300.0,163.05555555555554,209.9999999999999,209.99999999999991,210.00000000345702,209.99999999999991,209.99999999999991,204.62962962962962
1000.0,1000.0,1000.0,1000.0,242.36111111111114,420.0000000000001,394.173611111111,394.173611111111,400.0,400.0,400.0,304.9999999999999,323.05555555555554,310.0,309.99999999999994,310.000000003457,309.99999999999994,309.99999999999994,315.37037037037027
1000.0,1000.0,980.0,1000.0,162.3611111111111,361.2966252220257,394.3715277777779,394.173611111111,370.4523863361163,396.4326106058227,220.0,345.00000000000017,270.0,270.0,270.0,270.0,270.0,270.0,270.0
1000.0,1000.0,1000.0,1000.0,907.6388888888889,708.7033747779742,675.6284722222222,675.826388888889,268.26883843887833,226.3083898994662,349.99999999999994,249.99999999999994,349.99999999999994,349.9999999999999,349.99999999999994,349.99999999999994,349.99999999999994,349.99999999999994,349.65753876872816
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,350.0,289.9999999999997,260.4248225751556,300.0,270.0,269.99999999999994,254.5892184557443,269.99999999999994,269.99999999999994,269.99999999999994,195.71283160164205
450.0,450.0,450.0,450.0,450.0,388.4183565030969,425.0,423.4087620876444,300.0,300.0,237.26579988235545,219.99999999999997,209.35185185185185,225.55555555555537,238.8165018832388,230.32601967008566,218.72464552384326,228.7921470698251,279.2871683983579
1000.0,1000.0,1000.0,952.1158129175931,952.115812917593,168.8463773040071,80.00000000000001,173.85117451173338,340.0,299.9999999999999,321.15468877124454,261.1111111111111,329.35185185185185,335.0000000000002,323.88888888888926,325.45907176402574,348.66182006342467,328.52681697146085,290.7128316016421
1000.0,950.0,940.0,225.37814221895854,231.30651594879828,327.25684019965365,375.0,217.2412771199024,225.00000000000006,300.0000000000001,300.0,291.4050526819922,273.3796296296296,264.9999999999998,276.11111111111074,274.54092823597426,256.33817993657533,250.19348363812736,218.1946300029294
1000.0,370.0,380.0,317.8841870824069,216.49529819351812,206.52589759045037,156.80555555555563,320.0,330.0,320.0,320.0,289.99999999999994,320.0,330.0,320.0,346.11111111111103,340.48004220630446,345.91762747298367,342.17574036744094
1000.0,1000.0,150.0,350.0,350.0,421.29263651002816,391.8055555555556,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,273.88888888888897,329.51995779369554,290.0,320.7914851149544
1000.0,1000.0,535.0,550.0000000000007,510.0,441.29263651002816,530.0,535.0,499.99999999999994,450.0,450.0,478.3010057471268,475.4813071895426,437.49999999999994,399.9999999999999,400.0,385.55555555555554,385.55555555555554,385.55555555555554
1000.0,643.8305709023936,191.48263021143305,181.85012486671155,200.0,307.32309962811144,250.0,251.11111111111111,280.00000000000006,326.1111111111109,335.00000000000006,341.6989942528732,344.5186928104574,382.50000000000006,400.00000000000006,396.1111111111111,346.2003814478051,369.44444444444446,361.0274367821779
1000.0,1000.0,425.0,320.0,420.0,270.0,270.0,385.0,388.5072856331818,330.00000000000034,321.1111111111111,413.3010057471268,420.9803921568628,341.4614898989899,320.0,320.0,338.7996185521949,345.55555555555554,323.972563217822
1000.0,731.901285894514,241.0,400.0,250.0,450.0,450.0,385.0,381.4927143668182,450.0,450.0,271.6989942528732,264.6221405228753,377.50000000000006,396.111111111111,400.0,413.7996185521949,390.55555555555554,398.9725632178221
1000.0,601.2912107559182,643.0555555555555,500.0,500.0,550.0,550.0000000000001,500.0,500.0,500.0,500.0,427.8101053639843,420.13071895424827,350.0,350.0,350.0,350.0,350.0,350.00003515943143
