itr:1
"[488.4952316375016, 484.3783978037848, 482.12478337626084, 483.0536387446215]"
"[500.0, 500.0, 500.0, 500.0]"
"[500.0, 500.0, 500.0, 500.0]"
"[377.3807215180001, 500.0, 411.83013393056467, 500.0]"
"[377.3807215180001, 413.95823870570547, 411.83013393056467, 500.0]"
"[377.3807215180001, 436.04176129429527, 411.83013393056467, 421.0291542113466]"
