c[1],c[2],c[3],c[4],c[5],c[6],p[1],p[2],p[3],p[4],p[5],p[6],h[1],g_plus[1],g_minus[1],dr[1],μ[1],μ[2],μ[3]
9.9924088124375e7,2034.1999999999998,1845.3500000000001,5476.148125000001,3722.9224999999997,1736.65,336.0813115004464,180.0,135.0,315.0,315.0,135.0,0.0,11.11111111111111,0.0,300.0,100.0,100.0,100.0
5879.08,2273.0,2052.5,6169.415000000001,4166.46,1931.5,350.0,200.0,150.0,350.0,350.0,150.0,10.0,100.0,0.0,300.0,100.0,100.0,100.0
5209.04875,2034.1999999999998,1845.3500000000001,5476.148125000001,3722.9224999999997,1736.65,315.0,180.0,135.0,315.0,315.0,135.0,100.0,0.0,0.0,261.5857990559598,87.1952663519866,87.1952663519866,87.1952663519866
4547.36125,1798.7,1639.0,4790.671875000001,3282.1974999999998,1542.3999999999999,280.0,160.0,120.0,280.0,280.0,120.0,100.0,100.0,0.0,286.7591530516993,95.58638435056643,95.58638435056643,95.58638435056643
