Column1,Column2,Column3,Column4,Column5,Column6
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
500.0,500.0,500.0,500.0,346.8774853801169,386.0934815235165
1000.0,1000.0,1000.0,1000.0,191.11111111111111,120.00876123915069
1000.0,1000.0,1000.0,1000.0,111.11111111111111,230.3942429195315
1000.0,1000.0,1000.0,1000.0,958.8888888888889,839.6057570804685
500.0,500.0,500.0,500.0,500.0,500.0
450.0,450.0,450.0,450.0,450.0,380.305025864208
1000.0,1000.0,1000.0,952.1158129175931,952.1158129175931,194.63160205386643
1000.0,1000.0,1000.0,262.8952981935179,216.1111111111111,295.73975452862237
1000.0,481.9356977129602,348.33333333333337,270.0,320.0,320.0
1000.0,1000.0,321.66666666666663,350.0,350.0,350.0
1000.0,1000.0,295.5555555555555,550.0000000000001,510.0000000000001,398.05555555555554
1000.0,649.6316758747682,450.0,208.59729895641522,237.4999999999999,400.0
1000.0,1000.0,275.00000000000006,470.0,445.0,318.05555555555554
1000.0,750.0000000000002,450.0,327.51381215469587,316.4952981935181,400.0
1000.0,572.1295387634942,610.0,500.0,500.0,500.0
1000.0,555.0000000000005,600.0,415.0,365.0,400.0
1000.0,1000.0,1000.0,91.10000000000014,185.76837416481385,203.4571188608294
1000.0,1000.0,1000.0,958.8999999999999,952.1158129175931,286.54288113917073
450.0,450.0,450.0,450.0,450.0,300.0000000000001
500.0,500.0,500.0,500.0,500.0,500.0
1000.0,1000.0,1000.0,822.5,841.8920935412034,873.45711886083
1000.0,1000.0,974.1111111111111,177.49999999999997,158.10790645879658,226.54288113916985
1000.0,506.11111111111063,480.0,327.5,346.8920935412034,278.45711886083
