Column1,Column2,Column3,Column4,Column5
1000.0,950.0000000000025,1000.0,961.1111111111111,881.1111111111111
1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,950.0,950.0000000000014,1000.0
1000.0,1000.0,871.1111111111111,910.0,890.0
1000.0,900.0,900.0,900.0,900.0000000000005
